key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_catch_prac.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,4.1176,space,16.8734,space,8.7381,space,24.2429,space,12.2791,space,12.4337,51,117,1,0,0,response1disk_5,4,-1,-3,1,0,0,rectangle_8,-1,-3,1,0,0,-4,-1,-3,1,0,0,0,0,0,1,1,trail1,trail1.jpg,trail2,trail2.jpg,5fa48cbe7b244412adf37bb1,001,2021-12-06_04h18.19.488,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.0024001,5fa48cbe7b244412adf37bb1,61ad71e11ddd29ccf7a27d5b,61ad72c34004b356baa028c6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,79,-66,1,0,0,response3disk_5,2,-4,-12,1,0,0,rectangle_8,-4,-12,1,0,0,-4,-4,-12,1,0,0,0,1,1,3,1,trail2,trail2.jpg,trail2,trail2.jpg,5fa48cbe7b244412adf37bb1,001,2021-12-06_04h18.19.488,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.0024001,5fa48cbe7b244412adf37bb1,61ad71e11ddd29ccf7a27d5b,61ad72c34004b356baa028c6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,122,48,1,0,0,response1disk_5,3,-4,6,1,0,0,rectangle_8,-42,116,1,0,0,-4,10,-7,1,0,0,0,2,2,5,1,trail3,trail3.jpg,trail3,trail3.jpg,5fa48cbe7b244412adf37bb1,001,2021-12-06_04h18.19.488,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.0024001,5fa48cbe7b244412adf37bb1,61ad71e11ddd29ccf7a27d5b,61ad72c34004b356baa028c6,response7disk_7,-4,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-80,-93,1,0,0,response5disk_5,-1,-7,1,1,0,0,rectangle_8,-7,1,1,0,0,-4,-7,1,1,0,0,0,3,3,4,1,trail2,trail2.jpg,trail3,trail3.jpg,5fa48cbe7b244412adf37bb1,001,2021-12-06_04h18.19.488,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.0024001,5fa48cbe7b244412adf37bb1,61ad71e11ddd29ccf7a27d5b,61ad72c34004b356baa028c6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,23,-107,1,0,0,response3disk_5,1,4,16,1,0,0,rectangle_8,-59,110,1,0,0,-4,3,-2,1,0,0,0,4,4,2,1,trail1,trail1.jpg,trail3,trail3.jpg,5fa48cbe7b244412adf37bb1,001,2021-12-06_04h18.19.488,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.0024001,5fa48cbe7b244412adf37bb1,61ad71e11ddd29ccf7a27d5b,61ad72c34004b356baa028c6,response7disk_7,-4,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,40,98,1,0,0,response1disk_5,4,0,7,1,0,0,rectangle_8,0,7,1,0,0,-4,0,7,1,0,0,0,5,5,0,1,trail1,trail1.jpg,trail1,trail1.jpg,5fa48cbe7b244412adf37bb1,001,2021-12-06_04h18.19.488,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.0024001,5fa48cbe7b244412adf37bb1,61ad71e11ddd29ccf7a27d5b,61ad72c34004b356baa028c6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5fa48cbe7b244412adf37bb1,001,2021-12-06_04h18.19.488,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.0024001,5fa48cbe7b244412adf37bb1,61ad71e11ddd29ccf7a27d5b,61ad72c34004b356baa028c6,,,,space,3.9341,80,-52,1,0,0,response3disk,22.1086,2,8,1,0,0,rectangle,2,8,1,0,0,,-4,"[33,31,42,72,127,8,129,72,75,66]",2,8,1,0,0,0,0,0,62,1,LightBlue,LightBlue.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,5fa48cbe7b244412adf37bb1,001,2021-12-06_04h18.19.488,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.0024001,5fa48cbe7b244412adf37bb1,61ad71e11ddd29ccf7a27d5b,61ad72c34004b356baa028c6,,,,,,-57,-96,1,0,0,response5disk,6.2027,-16,4,1,0,0,rectangle,-16,4,1,0,0,,2,"[33,31,42,72,127,8,129,72,75,66]",-16,4,1,0,0,0,1,1,45,1,Yellow,Yellow.jpg,Red,Red.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,5fa48cbe7b244412adf37bb1,001,2021-12-06_04h18.19.488,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.0024001,5fa48cbe7b244412adf37bb1,61ad71e11ddd29ccf7a27d5b,61ad72c34004b356baa028c6,,,,,,-80,107,1,0,0,response7disk,2.585,5,4,1,0,0,rectangle,5,4,1,0,0,,3,"[33,31,42,72,127,8,129,72,75,66]",5,4,1,0,0,0,2,2,47,1,DarkGreen,DarkGreen.jpg,Red,Red.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,5fa48cbe7b244412adf37bb1,001,2021-12-06_04h18.19.488,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.0024001,5fa48cbe7b244412adf37bb1,61ad71e11ddd29ccf7a27d5b,61ad72c34004b356baa028c6,,,,,,-69,91,1,0,0,response7disk,2.6268,5,-10,1,0,0,rectangle,5,-10,1,0,0,,-3,"[33,31,42,72,127,8,129,72,75,66]",5,-10,1,0,0,0,3,3,3,1,Red,Red.jpg,DarkGreen,DarkGreen.jpg,,
