key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,mouse_catch_prac.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,2.45,space,3.4295,space,3.1566,space,6.9697,space,22.0478,space,9.4679,93,-39,1,0,0,response3disk_5,2,3,2,1,0,0,rectangle_8,-52,-114,1,0,0,response5disk_7,-1,-1,-7,-4,1,0,0,rectangle_4,0,0,0,0,1,trail1,trail1.jpg,trail1,trail1.jpg,609190b7869cb8cba8c18c04,001,2021-12-05_23h16.07.849,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.88382538,609190b7869cb8cba8c18c04,61ad71e11ddd29ccf7a27d5b,61ad7244cd739902d5c56436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-102,34,1,0,0,response7disk_5,-3,-2,-6,1,0,0,rectangle_8,-63,-119,1,0,0,response5disk_7,-1,-1,8,2,1,0,0,rectangle_4,0,1,1,1,1,trail1,trail1.jpg,trail2,trail2.jpg,609190b7869cb8cba8c18c04,001,2021-12-05_23h16.07.849,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.88382538,609190b7869cb8cba8c18c04,61ad71e11ddd29ccf7a27d5b,61ad7244cd739902d5c56436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,39,84,1,0,0,response1disk_5,4,-5,6,1,0,0,rectangle_8,-5,6,1,0,0,,,-1,-5,6,1,0,0,,0,2,2,5,1,trail3,trail3.jpg,trail3,trail3.jpg,609190b7869cb8cba8c18c04,001,2021-12-05_23h16.07.849,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.88382538,609190b7869cb8cba8c18c04,61ad71e11ddd29ccf7a27d5b,61ad7244cd739902d5c56436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,117,42,1,0,0,response1disk_5,3,6,0,1,0,0,rectangle_8,6,0,1,0,0,,,-1,6,0,1,0,0,,0,3,3,3,1,trail2,trail2.jpg,trail2,trail2.jpg,609190b7869cb8cba8c18c04,001,2021-12-05_23h16.07.849,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.88382538,609190b7869cb8cba8c18c04,61ad71e11ddd29ccf7a27d5b,61ad7244cd739902d5c56436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-92,69,1,0,0,response7disk_5,-3,5,4,1,0,0,rectangle_8,5,4,1,0,0,,,-1,5,4,1,0,0,,0,4,4,2,1,trail1,trail1.jpg,trail3,trail3.jpg,609190b7869cb8cba8c18c04,001,2021-12-05_23h16.07.849,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.88382538,609190b7869cb8cba8c18c04,61ad71e11ddd29ccf7a27d5b,61ad7244cd739902d5c56436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-57,120,1,0,0,response7disk_5,-4,-9,-13,1,0,0,rectangle_8,-9,-13,1,0,0,,,-1,-9,-13,1,0,0,,0,5,5,4,1,trail2,trail2.jpg,trail3,trail3.jpg,609190b7869cb8cba8c18c04,001,2021-12-05_23h16.07.849,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.88382538,609190b7869cb8cba8c18c04,61ad71e11ddd29ccf7a27d5b,61ad7244cd739902d5c56436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609190b7869cb8cba8c18c04,001,2021-12-05_23h16.07.849,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.88382538,609190b7869cb8cba8c18c04,61ad71e11ddd29ccf7a27d5b,61ad7244cd739902d5c56436,space,2.4248,-70,116,1,0,0,response7disk,2.2543,-4,9,1,0,0,rectangle,-4,9,1,0,0,,-4,"[84,91,153,133,124,149,64,23,43,95]",-4,9,1,0,0,0,0,0,61,1,Turquiose,Turquiose.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609190b7869cb8cba8c18c04,001,2021-12-05_23h16.07.849,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.88382538,609190b7869cb8cba8c18c04,61ad71e11ddd29ccf7a27d5b,61ad7244cd739902d5c56436,,,-50,100,1,0,0,response7disk,1.0675,-3,3,1,0,0,rectangle,-3,3,1,0,0,,2,"[84,91,153,133,124,149,64,23,43,95]",-3,3,1,0,0,0,1,1,52,1,Purple,Purple.jpg,Red,Red.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609190b7869cb8cba8c18c04,001,2021-12-05_23h16.07.849,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.88382538,609190b7869cb8cba8c18c04,61ad71e11ddd29ccf7a27d5b,61ad7244cd739902d5c56436,,,-56,102,1,0,0,response7disk,0.9841,-7,-5,1,0,0,rectangle,-7,-5,1,0,0,,2,"[84,91,153,133,124,149,64,23,43,95]",-7,-5,1,0,0,0,2,2,28,1,DarkGreen,DarkGreen.jpg,Pink,Pink.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609190b7869cb8cba8c18c04,001,2021-12-05_23h16.07.849,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.88382538,609190b7869cb8cba8c18c04,61ad71e11ddd29ccf7a27d5b,61ad7244cd739902d5c56436,,,-66,107,1,0,0,response7disk,2.6742,-1,5,1,0,0,rectangle,-1,5,1,0,0,,-4,"[84,91,153,133,124,149,64,23,43,95]",-1,5,1,0,0,0,3,3,57,1,DarkBlue,DarkBlue.jpg,Yellow,Yellow.jpg,,
