key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_catch_prac.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,1.0898,space,5.5162,space,2.6019,space,3.1466,space,18.8214,space,3.4347,113.6000131,-46.40000713,1,0,0,response3disk_5,2,-3.999988616,6.399993658,1,0,0,rectangle_8,-3.999988616,6.399993658,1,0,0,3,-3.999988616,6.399993658,1,0,0,0,0,0,0,1,trail1,trail1.jpg,trail1,trail1.jpg,60c1b64299f3731fc4f54169,001,2021-12-05_20h17.37.534,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.99520038,60c1b64299f3731fc4f54169,61ad71e11ddd29ccf7a27d5b,61ad7274bf929dea56137875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,112.0000131,-52.80000722,1,0,0,response3disk_5,2,8.800011575,2.399993598,1,0,0,rectangle_8,114.4000131,45.59999424,1,0,0,3,-11.19998872,7.999993682,1,0,0,0,1,1,5,1,trail3,trail3.jpg,trail3,trail3.jpg,60c1b64299f3731fc4f54169,001,2021-12-05_20h17.37.534,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.99520038,60c1b64299f3731fc4f54169,61ad71e11ddd29ccf7a27d5b,61ad7274bf929dea56137875,response1disk_7,3,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-108.7999902,-56.00000727,1,0,0,response5disk_5,-2,-8.799988687,-7.200006545,1,0,0,rectangle_8,-8.799988687,-7.200006545,1,0,0,3,-8.799988687,-7.200006545,1,0,0,0,2,2,1,1,trail1,trail1.jpg,trail2,trail2.jpg,60c1b64299f3731fc4f54169,001,2021-12-05_20h17.37.534,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.99520038,60c1b64299f3731fc4f54169,61ad71e11ddd29ccf7a27d5b,61ad7274bf929dea56137875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-105.5999901,-34.40000695,1,0,0,response5disk_5,-2,12.80001163,11.19999373,1,0,0,rectangle_8,12.80001163,11.19999373,1,0,0,3,12.80001163,11.19999373,1,0,0,0,3,3,4,1,trail2,trail2.jpg,trail3,trail3.jpg,60c1b64299f3731fc4f54169,001,2021-12-05_20h17.37.534,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.99520038,60c1b64299f3731fc4f54169,61ad71e11ddd29ccf7a27d5b,61ad7274bf929dea56137875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,68.80001247,-136.0000085,1,0,0,response3disk_5,1,-19.19998884,-0.800006449,1,0,0,rectangle_8,113.6000131,44.79999423,1,0,0,3,-9.599988699,7.19999367,1,0,0,0,4,4,2,1,trail1,trail1.jpg,trail3,trail3.jpg,60c1b64299f3731fc4f54169,001,2021-12-05_20h17.37.534,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.99520038,60c1b64299f3731fc4f54169,61ad71e11ddd29ccf7a27d5b,61ad7274bf929dea56137875,response1disk_7,3,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,52.80001223,123.9999954,1,0,0,response1disk_5,4,0.800011456,9.599993706,1,0,0,rectangle_8,0.800011456,9.599993706,1,0,0,3,0.800011456,9.599993706,1,0,0,0,5,5,3,1,trail2,trail2.jpg,trail2,trail2.jpg,60c1b64299f3731fc4f54169,001,2021-12-05_20h17.37.534,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.99520038,60c1b64299f3731fc4f54169,61ad71e11ddd29ccf7a27d5b,61ad7274bf929dea56137875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,60c1b64299f3731fc4f54169,001,2021-12-05_20h17.37.534,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.99520038,60c1b64299f3731fc4f54169,61ad71e11ddd29ccf7a27d5b,61ad7274bf929dea56137875,,,,space,0.9644,-88.79998988,43.99999422,1,0,0,response7disk,1.6169,-3.199988604,-0.800006449,1,0,0,rectangle,-3.199988604,-0.800006449,1,0,0,,-1,"[38,23,77,4,60,42,89,64,135,15]",-3.199988604,-0.800006449,1,0,0,0,0,0,64,1,Pink,Pink.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,60c1b64299f3731fc4f54169,001,2021-12-05_20h17.37.534,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.99520038,60c1b64299f3731fc4f54169,61ad71e11ddd29ccf7a27d5b,61ad7274bf929dea56137875,,,,,,-98.39994119,-56.80000728,1,0,0,response5disk,1.6499,-1.59998858,-5.600006521,1,0,0,rectangle,-1.59998858,-5.600006521,1,0,0,,1,"[38,23,77,4,60,42,89,64,135,15]",-1.59998858,-5.600006521,1,0,0,0,1,1,38,1,LightBlue,LightBlue.jpg,Purple,Purple.jpg,,
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,60c1b64299f3731fc4f54169,001,2021-12-05_20h17.37.534,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.99520038,60c1b64299f3731fc4f54169,61ad71e11ddd29ccf7a27d5b,61ad7274bf929dea56137875,,,,,,-104.7999901,-37.600007,1,0,0,response5disk,1.7669,0.800011456,4.799993634,1,0,0,rectangle,0.800011456,4.799993634,1,0,0,,-1,"[38,23,77,4,60,42,89,64,135,15]",0.800011456,4.799993634,1,0,0,0,2,2,10,1,Yellow,Yellow.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,60c1b64299f3731fc4f54169,001,2021-12-05_20h17.37.534,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.99520038,60c1b64299f3731fc4f54169,61ad71e11ddd29ccf7a27d5b,61ad7274bf929dea56137875,,,,,,-56.7999894,-95.20000786,1,0,0,response5disk,2.7169,-5.599988639,3.999993622,1,0,0,rectangle,-43.99998921,95.99999499,1,0,0,-4,-4,"[38,23,77,4,60,42,89,64,135,15]",15.20001167,-5.600006521,1,0,0,0,3,3,47,1,DarkGreen,DarkGreen.jpg,Red,Red.jpg,response7disk_3,rectangle
