key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_catch_prac.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,5.5422,space,1.8326,space,5.203,space,6.085,space,16.2917,space,2.7974,76,-45,1,0,0,response3disk_5,2,-3,0,1,0,0,rectangle_8,-3,0,1,0,0,1,-3,0,1,0,0,0,0,0,4,1,trail2,trail2.jpg,trail3,trail3.jpg,610c5b0a0f713891f0d5af7f,001,2021-12-06_02h18.05.622,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,144.5295563,610c5b0a0f713891f0d5af7f,61ad71e11ddd29ccf7a27d5b,61ad72d2836c9a04783d3053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,115,-69,1,0,0,response3disk_5,2,-2,5,1,0,0,rectangle_8,-68,46,1,0,0,1,-9,9,1,0,0,0,1,1,3,1,trail2,trail2.jpg,trail2,trail2.jpg,610c5b0a0f713891f0d5af7f,001,2021-12-06_02h18.05.622,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,144.5295563,610c5b0a0f713891f0d5af7f,61ad71e11ddd29ccf7a27d5b,61ad72d2836c9a04783d3053,response7disk_7,-3,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-49,-55,1,0,0,response5disk_5,-1,-6,5,1,0,0,rectangle_8,-6,5,1,0,0,1,-6,5,1,0,0,0,2,2,1,1,trail1,trail1.jpg,trail2,trail2.jpg,610c5b0a0f713891f0d5af7f,001,2021-12-06_02h18.05.622,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,144.5295563,610c5b0a0f713891f0d5af7f,61ad71e11ddd29ccf7a27d5b,61ad72d2836c9a04783d3053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,30,31,1,0,0,response1disk_5,4,-5,1,1,0,0,rectangle_8,-83,65,1,0,0,1,-3,-5,1,0,0,0,3,3,2,1,trail1,trail1.jpg,trail3,trail3.jpg,610c5b0a0f713891f0d5af7f,001,2021-12-06_02h18.05.622,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,144.5295563,610c5b0a0f713891f0d5af7f,61ad71e11ddd29ccf7a27d5b,61ad72d2836c9a04783d3053,response7disk_7,-3,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,48,42,1,0,0,response1disk_5,3,-5,8,1,0,0,rectangle_8,-5,8,1,0,0,1,-5,8,1,0,0,0,4,4,0,1,trail1,trail1.jpg,trail1,trail1.jpg,610c5b0a0f713891f0d5af7f,001,2021-12-06_02h18.05.622,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,144.5295563,610c5b0a0f713891f0d5af7f,61ad71e11ddd29ccf7a27d5b,61ad72d2836c9a04783d3053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,51,45,1,0,0,response1disk_5,3,-5,8,1,0,0,rectangle_8,-5,8,1,0,0,1,-5,8,1,0,0,0,5,5,5,1,trail3,trail3.jpg,trail3,trail3.jpg,610c5b0a0f713891f0d5af7f,001,2021-12-06_02h18.05.622,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,144.5295563,610c5b0a0f713891f0d5af7f,61ad71e11ddd29ccf7a27d5b,61ad72d2836c9a04783d3053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,610c5b0a0f713891f0d5af7f,001,2021-12-06_02h18.05.622,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,144.5295563,610c5b0a0f713891f0d5af7f,61ad71e11ddd29ccf7a27d5b,61ad72d2836c9a04783d3053,,,,space,1.1065,-89,40,1,0,0,response7disk,1.6741,-4,-12,1,0,0,rectangle,-4,-12,1,0,0,,2,"[52,17,123,150,38,115,22,89,143,36]",-4,-12,1,0,0,0,0,0,79,1,Purple,Purple.jpg,DarkBlue,DarkBlue.jpg,,
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,610c5b0a0f713891f0d5af7f,001,2021-12-06_02h18.05.622,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,144.5295563,610c5b0a0f713891f0d5af7f,61ad71e11ddd29ccf7a27d5b,61ad72d2836c9a04783d3053,,,,,,-73,65,1,0,0,response7disk,1.3403,-1,0,1,0,0,rectangle,-1,0,1,0,0,,-2,"[52,17,123,150,38,115,22,89,143,36]",-1,0,1,0,0,0,1,1,31,1,Turquiose,Turquiose.jpg,LightBlue,LightBlue.jpg,,
,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,610c5b0a0f713891f0d5af7f,001,2021-12-06_02h18.05.622,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,144.5295563,610c5b0a0f713891f0d5af7f,61ad71e11ddd29ccf7a27d5b,61ad72d2836c9a04783d3053,,,,,,53,52,1,0,0,response1disk,0.7849,4,6,1,0,0,rectangle,4,6,1,0,0,,-4,"[52,17,123,150,38,115,22,89,143,36]",4,6,1,0,0,0,2,2,0,1,Red,Red.jpg,Red,Red.jpg,,
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,610c5b0a0f713891f0d5af7f,001,2021-12-06_02h18.05.622,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,144.5295563,610c5b0a0f713891f0d5af7f,61ad71e11ddd29ccf7a27d5b,61ad72d2836c9a04783d3053,,,,,,-68,53,1,0,0,response7disk,0.7711,-2,0,1,0,0,rectangle,-2,0,1,0,0,,1,"[52,17,123,150,38,115,22,89,143,36]",-2,0,1,0,0,0,3,3,41,1,DarkBlue,DarkBlue.jpg,Purple,Purple.jpg,,
