key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_catch_prac.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,1.0906,space,6.2341,space,4.5833,space,7.8458,space,25.1695,space,5.9427,81,-92,1,0,0,response3disk_5,1,-3,5,1,0,0,rectangle_8,-3,5,1,0,0,-1,-3,5,1,0,0,0,0,0,2,1,trail1,trail1.jpg,trail3,trail3.jpg,613a3838d8479f4bc5723974,001,2021-12-05_20h17.51.294,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.97361161,613a3838d8479f4bc5723974,61ad71e11ddd29ccf7a27d5b,61ad72a97e8cd868b15d234a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,99,54,1,0,0,response1disk_5,3,-3,6,1,0,0,rectangle_8,54,-117,1,0,0,-1,-2,3,1,0,0,0,1,1,0,1,trail1,trail1.jpg,trail1,trail1.jpg,613a3838d8479f4bc5723974,001,2021-12-05_20h17.51.294,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.97361161,613a3838d8479f4bc5723974,61ad71e11ddd29ccf7a27d5b,61ad72a97e8cd868b15d234a,response3disk_7,1,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-45,83,1,0,0,response7disk_5,-4,-5,3,1,0,0,rectangle_8,-5,3,1,0,0,-1,-5,3,1,0,0,0,2,2,4,1,trail2,trail2.jpg,trail3,trail3.jpg,613a3838d8479f4bc5723974,001,2021-12-05_20h17.51.294,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.97361161,613a3838d8479f4bc5723974,61ad71e11ddd29ccf7a27d5b,61ad72a97e8cd868b15d234a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-110,43,1,0,0,response7disk_5,-3,0,-4,1,0,0,rectangle_8,0,-4,1,0,0,-1,0,-4,1,0,0,0,3,3,1,1,trail1,trail1.jpg,trail2,trail2.jpg,613a3838d8479f4bc5723974,001,2021-12-05_20h17.51.294,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.97361161,613a3838d8479f4bc5723974,61ad71e11ddd29ccf7a27d5b,61ad72a97e8cd868b15d234a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,41,100,1,0,0,response1disk_5,4,-16,-6,1,0,0,rectangle_8,-16,-6,1,0,0,-1,-16,-6,1,0,0,0,4,4,5,1,trail3,trail3.jpg,trail3,trail3.jpg,613a3838d8479f4bc5723974,001,2021-12-05_20h17.51.294,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.97361161,613a3838d8479f4bc5723974,61ad71e11ddd29ccf7a27d5b,61ad72a97e8cd868b15d234a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,65,92,1,0,0,response1disk_5,4,-8,-2,1,0,0,rectangle_8,-8,-2,1,0,0,-1,-8,-2,1,0,0,0,5,5,3,1,trail2,trail2.jpg,trail2,trail2.jpg,613a3838d8479f4bc5723974,001,2021-12-05_20h17.51.294,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.97361161,613a3838d8479f4bc5723974,61ad71e11ddd29ccf7a27d5b,61ad72a97e8cd868b15d234a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,613a3838d8479f4bc5723974,001,2021-12-05_20h17.51.294,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.97361161,613a3838d8479f4bc5723974,61ad71e11ddd29ccf7a27d5b,61ad72a97e8cd868b15d234a,,,,space,1.8437,31,101,1,0,0,response1disk,1,-3,16,1,0,0,rectangle,-3,16,1,0,0,,-2,"[116,55,152,161,0,39,53,56,21,41]",-3,16,1,0,0,0,0,0,44,1,Purple,Purple.jpg,Purple,Purple.jpg,,
,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,613a3838d8479f4bc5723974,001,2021-12-05_20h17.51.294,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.97361161,613a3838d8479f4bc5723974,61ad71e11ddd29ccf7a27d5b,61ad72a97e8cd868b15d234a,,,,,,65,84,1,0,0,response1disk,2.2829,-5,-5,1,0,0,rectangle,-5,-5,1,0,0,,3,"[116,55,152,161,0,39,53,56,21,41]",-5,-5,1,0,0,0,1,1,45,1,Yellow,Yellow.jpg,Red,Red.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,613a3838d8479f4bc5723974,001,2021-12-05_20h17.51.294,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.97361161,613a3838d8479f4bc5723974,61ad71e11ddd29ccf7a27d5b,61ad72a97e8cd868b15d234a,,,,,,-45,84,1,0,0,response7disk,1.5349,-10,0,1,0,0,rectangle,-10,0,1,0,0,,-4,"[116,55,152,161,0,39,53,56,21,41]",-10,0,1,0,0,0,2,2,66,1,Turquiose,Turquiose.jpg,DarkGreen,DarkGreen.jpg,,
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,613a3838d8479f4bc5723974,001,2021-12-05_20h17.51.294,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.97361161,613a3838d8479f4bc5723974,61ad71e11ddd29ccf7a27d5b,61ad72a97e8cd868b15d234a,,,,,,-102,41,1,0,0,response7disk,1.3665,6,-5,1,0,0,rectangle,6,-5,1,0,0,,3,"[116,55,152,161,0,39,53,56,21,41]",6,-5,1,0,0,0,3,3,74,1,Purple,Purple.jpg,Turquiose,Turquiose.jpg,,
