key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_catch_prac.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,2.2041,space,0.9457,space,4.719,space,5.9418,space,32.4233,space,4.2789,54,105,1,0,0,response1disk_5,4,-4,-4,1,0,0,rectangle_8,-4,-4,1,0,0,-4,-4,-4,1,0,0,0,0,0,5,1,trail3,trail3.jpg,trail3,trail3.jpg,613a88917ff405c4017c9f25,001,2021-12-05_20h17.05.274,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.03121623,613a88917ff405c4017c9f25,61ad71e11ddd29ccf7a27d5b,61ad72843236e1261131cfbf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-52,119,1,0,0,response7disk_5,-4,0,6,1,0,0,rectangle_8,0,6,1,0,0,-4,0,6,1,0,0,0,1,1,2,1,trail1,trail1.jpg,trail3,trail3.jpg,613a88917ff405c4017c9f25,001,2021-12-05_20h17.05.274,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.03121623,613a88917ff405c4017c9f25,61ad71e11ddd29ccf7a27d5b,61ad72843236e1261131cfbf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-32,-95,1,0,0,response5disk_5,-1,9,-4,1,0,0,rectangle_8,31,-96,1,0,0,-4,-2,4,1,0,0,0,2,2,1,1,trail1,trail1.jpg,trail2,trail2.jpg,613a88917ff405c4017c9f25,001,2021-12-05_20h17.05.274,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.03121623,613a88917ff405c4017c9f25,61ad71e11ddd29ccf7a27d5b,61ad72843236e1261131cfbf,response3disk_7,1,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-65,114,1,0,0,response7disk_5,-4,0,8,1,0,0,rectangle_8,0,8,1,0,0,-4,0,8,1,0,0,0,3,3,4,1,trail2,trail2.jpg,trail3,trail3.jpg,613a88917ff405c4017c9f25,001,2021-12-05_20h17.05.274,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.03121623,613a88917ff405c4017c9f25,61ad71e11ddd29ccf7a27d5b,61ad72843236e1261131cfbf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,40,83,1,0,0,response1disk_5,4,-3,3,1,0,0,rectangle_8,-3,3,1,0,0,-4,-3,3,1,0,0,0,4,4,0,1,trail1,trail1.jpg,trail1,trail1.jpg,613a88917ff405c4017c9f25,001,2021-12-05_20h17.05.274,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.03121623,613a88917ff405c4017c9f25,61ad71e11ddd29ccf7a27d5b,61ad72843236e1261131cfbf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,47,98,1,0,0,response1disk_5,4,2,-11,1,0,0,rectangle_8,2,-11,1,0,0,-4,2,-11,1,0,0,0,5,5,3,1,trail2,trail2.jpg,trail2,trail2.jpg,613a88917ff405c4017c9f25,001,2021-12-05_20h17.05.274,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.03121623,613a88917ff405c4017c9f25,61ad71e11ddd29ccf7a27d5b,61ad72843236e1261131cfbf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,613a88917ff405c4017c9f25,001,2021-12-05_20h17.05.274,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.03121623,613a88917ff405c4017c9f25,61ad71e11ddd29ccf7a27d5b,61ad72843236e1261131cfbf,,,,space,1.333,-93,69,1,0,0,response7disk,6.1465,-6,-3,1,0,0,rectangle,-6,-3,1,0,0,,-3,"[88,2,67,12,57,106,94,23,27,144]",-6,-3,1,0,0,0,0,0,55,1,Turquiose,Turquiose.jpg,Yellow,Yellow.jpg,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,613a88917ff405c4017c9f25,001,2021-12-05_20h17.05.274,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.03121623,613a88917ff405c4017c9f25,61ad71e11ddd29ccf7a27d5b,61ad72843236e1261131cfbf,,,,,,38,-83,1,0,0,response3disk,2.0997,-6,-6,1,0,0,rectangle,-66,-94,1,0,0,-1,-1,"[88,2,67,12,57,106,94,23,27,144]",4,2,1,0,0,0,1,1,5,1,Red,Red.jpg,LightBlue,LightBlue.jpg,response5disk_3,rectangle
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,613a88917ff405c4017c9f25,001,2021-12-05_20h17.05.274,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.03121623,613a88917ff405c4017c9f25,61ad71e11ddd29ccf7a27d5b,61ad72843236e1261131cfbf,,,,,,-32,64,1,0,0,response7disk,1.3315,-11,-1,1,0,0,rectangle,-11,-1,1,0,0,-1,1,"[88,2,67,12,57,106,94,23,27,144]",-11,-1,1,0,0,0,2,2,33,1,Turquiose,Turquiose.jpg,Pink,Pink.jpg,,
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,613a88917ff405c4017c9f25,001,2021-12-05_20h17.05.274,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.03121623,613a88917ff405c4017c9f25,61ad71e11ddd29ccf7a27d5b,61ad72843236e1261131cfbf,,,,,,-77,36,1,0,0,response7disk,1.8982,-8,-2,1,0,0,rectangle,-8,-2,1,0,0,-1,-2,"[88,2,67,12,57,106,94,23,27,144]",-8,-2,1,0,0,0,3,3,4,1,Red,Red.jpg,Turquiose,Turquiose.jpg,,
