key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_catch_prac.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,2.1463,space,68.9336,space,8.5568,space,15.0732,space,41.6431,space,10.2586,106,67,1,0,0,response1disk_5,3,5,2,1,0,0,rectangle_8,5,2,1,0,0,-4,5,2,1,0,0,0,0,0,0,1,trail1,trail1.jpg,trail1,trail1.jpg,616491882ae704cf46f3a9cc,001,2021-12-05_20h19.02.541,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,144.3209698,616491882ae704cf46f3a9cc,61ad71e11ddd29ccf7a27d5b,61ad7217ad07b4bce1964f86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-45,-88,1,0,0,response5disk_5,-1,1,0,1,0,0,rectangle_8,1,0,1,0,0,-4,1,0,1,0,0,0,1,1,1,1,trail1,trail1.jpg,trail2,trail2.jpg,616491882ae704cf46f3a9cc,001,2021-12-05_20h19.02.541,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,144.3209698,616491882ae704cf46f3a9cc,61ad71e11ddd29ccf7a27d5b,61ad7217ad07b4bce1964f86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,43,102,1,0,0,response1disk_5,4,-11,-6,1,0,0,rectangle_8,-67,123,1,0,0,-4,-10,-5,1,0,0,0,2,2,3,1,trail2,trail2.jpg,trail2,trail2.jpg,616491882ae704cf46f3a9cc,001,2021-12-05_20h19.02.541,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,144.3209698,616491882ae704cf46f3a9cc,61ad71e11ddd29ccf7a27d5b,61ad7217ad07b4bce1964f86,response7disk_7,-4,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-46,101,1,0,0,response7disk_5,-4,-8,10,1,0,0,rectangle_8,-8,10,1,0,0,-4,-8,10,1,0,0,0,3,3,4,1,trail2,trail2.jpg,trail3,trail3.jpg,616491882ae704cf46f3a9cc,001,2021-12-05_20h19.02.541,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,144.3209698,616491882ae704cf46f3a9cc,61ad71e11ddd29ccf7a27d5b,61ad7217ad07b4bce1964f86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,36,118,1,0,0,response1disk_5,4,-1,-7,1,0,0,rectangle_8,-42,94,1,0,0,-4,4,16,1,0,0,0,4,4,5,1,trail3,trail3.jpg,trail3,trail3.jpg,616491882ae704cf46f3a9cc,001,2021-12-05_20h19.02.541,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,144.3209698,616491882ae704cf46f3a9cc,61ad71e11ddd29ccf7a27d5b,61ad7217ad07b4bce1964f86,response7disk_7,-4,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-68,118,1,0,0,response7disk_5,-4,6,-1,1,0,0,rectangle_8,6,-1,1,0,0,-4,6,-1,1,0,0,0,5,5,2,1,trail1,trail1.jpg,trail3,trail3.jpg,616491882ae704cf46f3a9cc,001,2021-12-05_20h19.02.541,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,144.3209698,616491882ae704cf46f3a9cc,61ad71e11ddd29ccf7a27d5b,61ad7217ad07b4bce1964f86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,616491882ae704cf46f3a9cc,001,2021-12-05_20h19.02.541,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,144.3209698,616491882ae704cf46f3a9cc,61ad71e11ddd29ccf7a27d5b,61ad7217ad07b4bce1964f86,,,,space,2.7469,-79,43,1,0,0,response7disk,4.3701,-6,4,1,0,0,rectangle,-6,4,1,0,0,,-4,"[114,157,106,57,14,123,108,142,67,7]",-6,4,1,0,0,0,0,0,3,1,Red,Red.jpg,DarkGreen,DarkGreen.jpg,,
,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,616491882ae704cf46f3a9cc,001,2021-12-05_20h19.02.541,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,144.3209698,616491882ae704cf46f3a9cc,61ad71e11ddd29ccf7a27d5b,61ad7217ad07b4bce1964f86,,,,,,31,91,1,0,0,response1disk,0.8066,8,-8,1,0,0,rectangle,8,-8,1,0,0,,1,"[114,157,106,57,14,123,108,142,67,7]",8,-8,1,0,0,0,1,1,9,1,Yellow,Yellow.jpg,Yellow,Yellow.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,616491882ae704cf46f3a9cc,001,2021-12-05_20h19.02.541,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,144.3209698,616491882ae704cf46f3a9cc,61ad71e11ddd29ccf7a27d5b,61ad7217ad07b4bce1964f86,,,,,,-54,89,1,0,0,response7disk,1.2726,5,4,1,0,0,rectangle,5,4,1,0,0,,-1,"[114,157,106,57,14,123,108,142,67,7]",5,4,1,0,0,0,2,2,43,1,Pink,Pink.jpg,Purple,Purple.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,616491882ae704cf46f3a9cc,001,2021-12-05_20h19.02.541,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,144.3209698,616491882ae704cf46f3a9cc,61ad71e11ddd29ccf7a27d5b,61ad7217ad07b4bce1964f86,,,,,,-43,96,1,0,0,response7disk,1.7732,8,-6,1,0,0,rectangle,8,-6,1,0,0,,1,"[114,157,106,57,14,123,108,142,67,7]",8,-6,1,0,0,0,3,3,47,1,DarkGreen,DarkGreen.jpg,Red,Red.jpg,,
