key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,mouse_catch_prac.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,4.1743,space,30.7718,space,7.1493,space,16.7486,space,57.0863,space,7.5483,-106,-38,1,0,0,response5disk_5,-2,2,-2,1,0,0,rectangle_8,-28,105,1,0,0,response7disk_7,-4,-4,4,4,1,0,0,rectangle_4,0,0,0,0,1,trail1,trail1.jpg,trail1,trail1.jpg,Edgar ,001,2021-12-05_20h18.38.481,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.9268892,6144d595272a4e5174447ab5,61ad71e11ddd29ccf7a27d5b,61ad72c66aefb921f4a7e452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,124,64,1,0,0,response1disk_5,3,-1,-5,1,0,0,rectangle_8,-1,-5,1,0,0,,,-4,-1,-5,1,0,0,,0,1,1,5,1,trail3,trail3.jpg,trail3,trail3.jpg,Edgar ,001,2021-12-05_20h18.38.481,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.9268892,6144d595272a4e5174447ab5,61ad71e11ddd29ccf7a27d5b,61ad72c66aefb921f4a7e452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-96,73,1,0,0,response7disk_5,-3,5,-3,1,0,0,rectangle_8,5,-3,1,0,0,,,-4,5,-3,1,0,0,,0,2,2,1,1,trail1,trail1.jpg,trail2,trail2.jpg,Edgar ,001,2021-12-05_20h18.38.481,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.9268892,6144d595272a4e5174447ab5,61ad71e11ddd29ccf7a27d5b,61ad72c66aefb921f4a7e452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-59,113,1,0,0,response7disk_5,-4,-1,0,1,0,0,rectangle_8,-1,0,1,0,0,,,-4,-1,0,1,0,0,,0,3,3,2,1,trail1,trail1.jpg,trail3,trail3.jpg,Edgar ,001,2021-12-05_20h18.38.481,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.9268892,6144d595272a4e5174447ab5,61ad71e11ddd29ccf7a27d5b,61ad72c66aefb921f4a7e452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,44,101,1,0,0,response1disk_5,4,3,-1,1,0,0,rectangle_8,3,-1,1,0,0,,,-4,3,-1,1,0,0,,0,4,4,3,1,trail2,trail2.jpg,trail2,trail2.jpg,Edgar ,001,2021-12-05_20h18.38.481,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.9268892,6144d595272a4e5174447ab5,61ad71e11ddd29ccf7a27d5b,61ad72c66aefb921f4a7e452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-40,104,1,0,0,response7disk_5,-4,-1,-1,1,0,0,rectangle_8,-1,-1,1,0,0,,,-4,-1,-1,1,0,0,,0,5,5,4,1,trail2,trail2.jpg,trail3,trail3.jpg,Edgar ,001,2021-12-05_20h18.38.481,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.9268892,6144d595272a4e5174447ab5,61ad71e11ddd29ccf7a27d5b,61ad72c66aefb921f4a7e452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edgar ,001,2021-12-05_20h18.38.481,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.9268892,6144d595272a4e5174447ab5,61ad71e11ddd29ccf7a27d5b,61ad72c66aefb921f4a7e452,space,3.3057,97,-46,1,0,0,response3disk,6.0749,-4,5,1,0,0,rectangle,-4,5,1,0,0,,2,"[119,42,30,4,45,153,4,11,136,56]",-4,5,1,0,0,0,0,0,72,1,DarkBlue,DarkBlue.jpg,Turquiose,Turquiose.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edgar ,001,2021-12-05_20h18.38.481,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.9268892,6144d595272a4e5174447ab5,61ad71e11ddd29ccf7a27d5b,61ad72c66aefb921f4a7e452,,,-58,99,1,0,0,response7disk,2.3332,1,-1,1,0,0,rectangle,1,-1,1,0,0,,-3,"[119,42,30,4,45,153,4,11,136,56]",1,-1,1,0,0,0,1,1,68,1,DarkBlue,DarkBlue.jpg,DarkGreen,DarkGreen.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edgar ,001,2021-12-05_20h18.38.481,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.9268892,6144d595272a4e5174447ab5,61ad71e11ddd29ccf7a27d5b,61ad72c66aefb921f4a7e452,,,-39,88,1,0,0,response7disk,0.9825,1,3,1,0,0,rectangle,1,3,1,0,0,,-3,"[119,42,30,4,45,153,4,11,136,56]",1,3,1,0,0,0,2,2,33,1,Turquiose,Turquiose.jpg,Pink,Pink.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edgar ,001,2021-12-05_20h18.38.481,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.9268892,6144d595272a4e5174447ab5,61ad71e11ddd29ccf7a27d5b,61ad72c66aefb921f4a7e452,,,-45,74,1,0,0,response7disk,2.2006,0,8,1,0,0,rectangle,52,-123,1,0,0,1,1,"[119,42,30,4,45,153,4,11,136,56]",-3,4,1,0,0,0,3,3,11,1,Yellow,Yellow.jpg,DarkGreen,DarkGreen.jpg,response3disk_3,rectangle
