key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_catch_prac.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,9.4592,space,43.1118,space,53.7142,space,132.0987,space,45.7518,space,8.8412,123,-39,1,0,0,response3disk_5,2,-3,4,1,0,0,rectangle_8,-3,4,1,0,0,-4,-3,4,1,0,0,0,0,0,1,1,trail1,trail1.jpg,trail2,trail2.jpg,Etha,001,2021-12-05_20h17.45.333,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.58410296,613b86dafc386be5570e1178,61ad71e11ddd29ccf7a27d5b,61ad72757df3282a4f98578a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-50,-82,1,0,0,response5disk_5,-1,-1,-5,1,0,0,rectangle_8,-46,100,1,0,0,-4,-6,-1,1,0,0,0,1,1,0,1,trail1,trail1.jpg,trail1,trail1.jpg,Etha,001,2021-12-05_20h17.45.333,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.58410296,613b86dafc386be5570e1178,61ad71e11ddd29ccf7a27d5b,61ad72757df3282a4f98578a,response7disk_7,-4,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,46,114,1,0,0,response1disk_5,4,-2,-2,1,0,0,rectangle_8,-2,-2,1,0,0,-4,-2,-2,1,0,0,0,2,2,3,1,trail2,trail2.jpg,trail2,trail2.jpg,Etha,001,2021-12-05_20h17.45.333,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.58410296,613b86dafc386be5570e1178,61ad71e11ddd29ccf7a27d5b,61ad72757df3282a4f98578a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-81,50,1,0,0,response7disk_5,-3,-4,-5,1,0,0,rectangle_8,-4,-5,1,0,0,-4,-4,-5,1,0,0,0,3,3,4,1,trail2,trail2.jpg,trail3,trail3.jpg,Etha,001,2021-12-05_20h17.45.333,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.58410296,613b86dafc386be5570e1178,61ad71e11ddd29ccf7a27d5b,61ad72757df3282a4f98578a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,38,103,1,0,0,response1disk_5,4,-6,6,1,0,0,rectangle_8,-6,6,1,0,0,-4,-6,6,1,0,0,0,4,4,5,1,trail3,trail3.jpg,trail3,trail3.jpg,Etha,001,2021-12-05_20h17.45.333,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.58410296,613b86dafc386be5570e1178,61ad71e11ddd29ccf7a27d5b,61ad72757df3282a4f98578a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,65,39,1,0,0,response1disk_5,3,-5,4,1,0,0,rectangle_8,-5,4,1,0,0,-4,-5,4,1,0,0,0,5,5,2,1,trail1,trail1.jpg,trail3,trail3.jpg,Etha,001,2021-12-05_20h17.45.333,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.58410296,613b86dafc386be5570e1178,61ad71e11ddd29ccf7a27d5b,61ad72757df3282a4f98578a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Etha,001,2021-12-05_20h17.45.333,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.58410296,613b86dafc386be5570e1178,61ad71e11ddd29ccf7a27d5b,61ad72757df3282a4f98578a,,,,space,4.196,60,124,1,0,0,response1disk,1.2208,-2,9,1,0,0,rectangle,-2,9,1,0,0,,3,"[113,121,158,132,96,110,124,90,141,18]",-2,9,1,0,0,0,0,0,0,1,Red,Red.jpg,Red,Red.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,Etha,001,2021-12-05_20h17.45.333,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.58410296,613b86dafc386be5570e1178,61ad71e11ddd29ccf7a27d5b,61ad72757df3282a4f98578a,,,,,,-62,80,1,0,0,response7disk,1.6354,-11,-2,1,0,0,rectangle,-11,-2,1,0,0,,2,"[113,121,158,132,96,110,124,90,141,18]",-11,-2,1,0,0,0,1,1,64,1,Pink,Pink.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Etha,001,2021-12-05_20h17.45.333,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.58410296,613b86dafc386be5570e1178,61ad71e11ddd29ccf7a27d5b,61ad72757df3282a4f98578a,,,,,,34,104,1,0,0,response1disk,0.8184,-23,-3,1,0,0,rectangle,-23,-3,1,0,0,,-1,"[113,121,158,132,96,110,124,90,141,18]",-23,-3,1,0,0,0,2,2,24,1,DarkGreen,DarkGreen.jpg,DarkGreen,DarkGreen.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,Etha,001,2021-12-05_20h17.45.333,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.58410296,613b86dafc386be5570e1178,61ad71e11ddd29ccf7a27d5b,61ad72757df3282a4f98578a,,,,,,-51,107,1,0,0,response7disk,1.4568,-1,-6,1,0,0,rectangle,-1,-6,1,0,0,,-2,"[113,121,158,132,96,110,124,90,141,18]",-1,-6,1,0,0,0,3,3,19,1,LightGreen,LightGreen.jpg,Turquiose,Turquiose.jpg,,
