key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_catch_prac.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,3.1383,space,10.5953,space,6.8765,space,30.0754,space,36.2393,space,9.3175,-28,99,1,0,0,response7disk_5,-4,2,6,1,0,0,rectangle_8,2,6,1,0,0,-3,2,6,1,0,0,0,0,0,0,1,trail1,trail1.jpg,trail1,trail1.jpg,,001,2021-12-06_04h16.27.829,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.42123715,5cdf55535a78bf00195d3715,61ad71e11ddd29ccf7a27d5b,61ad7251d88195a17fc3e892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-43,67,1,0,0,response7disk_5,-4,-6,5,1,0,0,rectangle_8,-6,5,1,0,0,-3,-6,5,1,0,0,0,1,1,4,1,trail2,trail2.jpg,trail3,trail3.jpg,,001,2021-12-06_04h16.27.829,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.42123715,5cdf55535a78bf00195d3715,61ad71e11ddd29ccf7a27d5b,61ad7251d88195a17fc3e892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-75,48,1,0,0,response7disk_5,-3,-5,-7,1,0,0,rectangle_8,-5,-7,1,0,0,-3,-5,-7,1,0,0,0,2,2,2,1,trail1,trail1.jpg,trail3,trail3.jpg,,001,2021-12-06_04h16.27.829,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.42123715,5cdf55535a78bf00195d3715,61ad71e11ddd29ccf7a27d5b,61ad7251d88195a17fc3e892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-94,39,1,0,0,response7disk_5,-3,-8,13,1,0,0,rectangle_8,-75,34,1,0,0,-3,-13,-4,1,0,0,0,3,3,1,1,trail1,trail1.jpg,trail2,trail2.jpg,,001,2021-12-06_04h16.27.829,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.42123715,5cdf55535a78bf00195d3715,61ad71e11ddd29ccf7a27d5b,61ad7251d88195a17fc3e892,response7disk_7,-3,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-88,40,1,0,0,response7disk_5,-3,-13,-5,1,0,0,rectangle_8,-13,-5,1,0,0,-3,-13,-5,1,0,0,0,4,4,3,1,trail2,trail2.jpg,trail2,trail2.jpg,,001,2021-12-06_04h16.27.829,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.42123715,5cdf55535a78bf00195d3715,61ad71e11ddd29ccf7a27d5b,61ad7251d88195a17fc3e892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,67,115,1,0,0,response1disk_5,4,2,4,1,0,0,rectangle_8,2,4,1,0,0,-3,2,4,1,0,0,0,5,5,5,1,trail3,trail3.jpg,trail3,trail3.jpg,,001,2021-12-06_04h16.27.829,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.42123715,5cdf55535a78bf00195d3715,61ad71e11ddd29ccf7a27d5b,61ad7251d88195a17fc3e892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-06_04h16.27.829,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.42123715,5cdf55535a78bf00195d3715,61ad71e11ddd29ccf7a27d5b,61ad7251d88195a17fc3e892,,,,space,2.735,-51,108,1,0,0,response7disk,6.9687,2,1,1,0,0,rectangle,2,1,1,0,0,,3,"[67,36,3,45,135,23,109,105,103,80]",2,1,1,0,0,0,0,0,62,1,LightBlue,LightBlue.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-06_04h16.27.829,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.42123715,5cdf55535a78bf00195d3715,61ad71e11ddd29ccf7a27d5b,61ad7251d88195a17fc3e892,,,,,,-58,124,1,0,0,response7disk,1.9339,-10,6,1,0,0,rectangle,-10,6,1,0,0,,3,"[67,36,3,45,135,23,109,105,103,80]",-10,6,1,0,0,0,1,1,57,1,DarkBlue,DarkBlue.jpg,Yellow,Yellow.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-06_04h16.27.829,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.42123715,5cdf55535a78bf00195d3715,61ad71e11ddd29ccf7a27d5b,61ad7251d88195a17fc3e892,,,,,,-54,92,1,0,0,response7disk,4.4902,-7,9,1,0,0,rectangle,-75,34,1,0,0,-3,-3,"[67,36,3,45,135,23,109,105,103,80]",0,2,1,0,0,0,2,2,56,1,LightBlue,LightBlue.jpg,Yellow,Yellow.jpg,response7disk_3,rectangle
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-06_04h16.27.829,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,59.42123715,5cdf55535a78bf00195d3715,61ad71e11ddd29ccf7a27d5b,61ad7251d88195a17fc3e892,,,,,,-91,-30,1,0,0,response5disk,2.9665,7,6,1,0,0,rectangle,7,6,1,0,0,-3,3,"[67,36,3,45,135,23,109,105,103,80]",7,6,1,0,0,0,3,3,44,1,Purple,Purple.jpg,Purple,Purple.jpg,,
