key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,mouse_catch_prac.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,3.3219,space,2.9975,space,2.9681,space,17.8883,space,10.8607,space,2.1456,54,-58,1,0,0,response3disk_5,1,2,-14,1,0,0,rectangle_8,-54,124,1,0,0,response7disk_7,-4,-4,-2,15,1,0,0,rectangle_4,0,0,0,3,1,trail2,trail2.jpg,trail2,trail2.jpg,RETHA 616b4a94951835aed0530a7c,001,2021-12-06_04h18.33.315,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.69434329,616b4a94951835aed0530a7c,61ad71e11ddd29ccf7a27d5b,61ad72ae92cbf3629b3b838f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,52,93,1,0,0,response1disk_5,4,4,-12,1,0,0,rectangle_8,4,-12,1,0,0,,,-4,4,-12,1,0,0,,0,1,1,1,1,trail1,trail1.jpg,trail2,trail2.jpg,RETHA 616b4a94951835aed0530a7c,001,2021-12-06_04h18.33.315,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.69434329,616b4a94951835aed0530a7c,61ad71e11ddd29ccf7a27d5b,61ad72ae92cbf3629b3b838f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-33,101,1,0,0,response7disk_5,-4,-3,-1,1,0,0,rectangle_8,-3,-1,1,0,0,,,-4,-3,-1,1,0,0,,0,2,2,4,1,trail2,trail2.jpg,trail3,trail3.jpg,RETHA 616b4a94951835aed0530a7c,001,2021-12-06_04h18.33.315,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.69434329,616b4a94951835aed0530a7c,61ad71e11ddd29ccf7a27d5b,61ad72ae92cbf3629b3b838f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-72,-34,1,0,0,response5disk_5,-2,6,-1,1,0,0,rectangle_8,6,-1,1,0,0,,,-4,6,-1,1,0,0,,0,3,3,2,1,trail1,trail1.jpg,trail3,trail3.jpg,RETHA 616b4a94951835aed0530a7c,001,2021-12-06_04h18.33.315,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.69434329,616b4a94951835aed0530a7c,61ad71e11ddd29ccf7a27d5b,61ad72ae92cbf3629b3b838f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,46,129,1,0,0,response1disk_5,4,-10,1,1,0,0,rectangle_8,-41,90,1,0,0,response7disk_7,-4,-4,-2,-5,1,0,0,rectangle_4,0,4,4,5,1,trail3,trail3.jpg,trail3,trail3.jpg,RETHA 616b4a94951835aed0530a7c,001,2021-12-06_04h18.33.315,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.69434329,616b4a94951835aed0530a7c,61ad71e11ddd29ccf7a27d5b,61ad72ae92cbf3629b3b838f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,64,122,1,0,0,response1disk_5,4,2,3,1,0,0,rectangle_8,2,3,1,0,0,,,-4,2,3,1,0,0,,0,5,5,0,1,trail1,trail1.jpg,trail1,trail1.jpg,RETHA 616b4a94951835aed0530a7c,001,2021-12-06_04h18.33.315,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.69434329,616b4a94951835aed0530a7c,61ad71e11ddd29ccf7a27d5b,61ad72ae92cbf3629b3b838f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RETHA 616b4a94951835aed0530a7c,001,2021-12-06_04h18.33.315,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.69434329,616b4a94951835aed0530a7c,61ad71e11ddd29ccf7a27d5b,61ad72ae92cbf3629b3b838f,space,0.8194,37,112,1,0,0,response1disk,2.2802,9,0,1,0,0,rectangle,9,0,1,0,0,,-1,"[88,5,87,46,20,20,39,93,72,78]",9,0,1,0,0,0,0,0,48,1,Turquiose,Turquiose.jpg,Red,Red.jpg,,
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RETHA 616b4a94951835aed0530a7c,001,2021-12-06_04h18.33.315,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.69434329,616b4a94951835aed0530a7c,61ad71e11ddd29ccf7a27d5b,61ad72ae92cbf3629b3b838f,,,-92,-39,1,0,0,response5disk,2.3889,-14,8,1,0,0,rectangle,-14,8,1,0,0,,-4,"[88,5,87,46,20,20,39,93,72,78]",-14,8,1,0,0,0,1,1,63,1,DarkBlue,DarkBlue.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RETHA 616b4a94951835aed0530a7c,001,2021-12-06_04h18.33.315,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.69434329,616b4a94951835aed0530a7c,61ad71e11ddd29ccf7a27d5b,61ad72ae92cbf3629b3b838f,,,-90,-32,1,0,0,response5disk,1.7019,-12,-18,1,0,0,rectangle,-12,-18,1,0,0,,-2,"[88,5,87,46,20,20,39,93,72,78]",-12,-18,1,0,0,0,2,2,55,1,Turquiose,Turquiose.jpg,Yellow,Yellow.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RETHA 616b4a94951835aed0530a7c,001,2021-12-06_04h18.33.315,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,60.69434329,616b4a94951835aed0530a7c,61ad71e11ddd29ccf7a27d5b,61ad72ae92cbf3629b3b838f,,,-43,98,1,0,0,response7disk,2.2817,11,-1,1,0,0,rectangle,11,-1,1,0,0,,-3,"[88,5,87,46,20,20,39,93,72,78]",11,-1,1,0,0,0,3,3,10,1,Yellow,Yellow.jpg,LightGreen,LightGreen.jpg,,
