key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,mouse_catch_prac.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,1.614,space,6.191,space,4.058,space,6.328,space,28.704,space,2.947,73,38,1,0,0,response1disk_5,3,4,-2,1,0,0,rectangle_8,33,-108,1,0,0,response3disk_7,1,1,-7,-6,1,0,0,rectangle_4,0,0,0,3,1,trail2,trail2.jpg,trail2,trail2.jpg,ismo,001,2021-12-06_04h17.11,jm_natural_scene_simialrity_2-12-2021,2021.2.3,MacIntel,62.5,60ff2b881b69fe44acefde87,61ad71e11ddd29ccf7a27d5b,61ad725385d624d5cc162d57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,80,-39,1,0,0,response3disk_5,2,-19,2,1,0,0,rectangle_8,-19,2,1,0,0,,,1,-19,2,1,0,0,,0,1,1,2,1,trail1,trail1.jpg,trail3,trail3.jpg,ismo,001,2021-12-06_04h17.11,jm_natural_scene_simialrity_2-12-2021,2021.2.3,MacIntel,62.5,60ff2b881b69fe44acefde87,61ad71e11ddd29ccf7a27d5b,61ad725385d624d5cc162d57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-37,-75,1,0,0,response5disk_5,-1,3,-3,1,0,0,rectangle_8,3,-3,1,0,0,,,1,3,-3,1,0,0,,0,2,2,4,1,trail2,trail2.jpg,trail3,trail3.jpg,ismo,001,2021-12-06_04h17.11,jm_natural_scene_simialrity_2-12-2021,2021.2.3,MacIntel,62.5,60ff2b881b69fe44acefde87,61ad71e11ddd29ccf7a27d5b,61ad725385d624d5cc162d57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,40,113,1,0,0,response1disk_5,4,-6,-16,1,0,0,rectangle_8,28,-81,1,0,0,response3disk_7,1,1,0,-1,1,0,0,rectangle_4,0,3,3,0,1,trail1,trail1.jpg,trail1,trail1.jpg,ismo,001,2021-12-06_04h17.11,jm_natural_scene_simialrity_2-12-2021,2021.2.3,MacIntel,62.5,60ff2b881b69fe44acefde87,61ad71e11ddd29ccf7a27d5b,61ad725385d624d5cc162d57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,45,112,1,0,0,response1disk_5,4,-4,10,1,0,0,rectangle_8,-4,10,1,0,0,,,1,-4,10,1,0,0,,0,4,4,5,1,trail3,trail3.jpg,trail3,trail3.jpg,ismo,001,2021-12-06_04h17.11,jm_natural_scene_simialrity_2-12-2021,2021.2.3,MacIntel,62.5,60ff2b881b69fe44acefde87,61ad71e11ddd29ccf7a27d5b,61ad725385d624d5cc162d57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-62,102,1,0,0,response7disk_5,-4,2,18,1,0,0,rectangle_8,2,18,1,0,0,,,1,2,18,1,0,0,,0,5,5,1,1,trail1,trail1.jpg,trail2,trail2.jpg,ismo,001,2021-12-06_04h17.11,jm_natural_scene_simialrity_2-12-2021,2021.2.3,MacIntel,62.5,60ff2b881b69fe44acefde87,61ad71e11ddd29ccf7a27d5b,61ad725385d624d5cc162d57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ismo,001,2021-12-06_04h17.11,jm_natural_scene_simialrity_2-12-2021,2021.2.3,MacIntel,62.5,60ff2b881b69fe44acefde87,61ad71e11ddd29ccf7a27d5b,61ad725385d624d5cc162d57,space,0.737,-86,63,1,0,0,response7disk,2.051,-6,1,1,0,0,rectangle,-6,1,1,0,0,,-4,"[110,64,67,109,19,144,36,78,107,67]",-6,1,1,0,0,0,0,0,23,1,LightGreen,LightGreen.jpg,Purple,Purple.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ismo,001,2021-12-06_04h17.11,jm_natural_scene_simialrity_2-12-2021,2021.2.3,MacIntel,62.5,60ff2b881b69fe44acefde87,61ad71e11ddd29ccf7a27d5b,61ad725385d624d5cc162d57,,,-67,123,1,0,0,response7disk,1.168,3,5,1,0,0,rectangle,3,5,1,0,0,,-2,"[110,64,67,109,19,144,36,78,107,67]",3,5,1,0,0,0,1,1,10,1,Yellow,Yellow.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ismo,001,2021-12-06_04h17.11,jm_natural_scene_simialrity_2-12-2021,2021.2.3,MacIntel,62.5,60ff2b881b69fe44acefde87,61ad71e11ddd29ccf7a27d5b,61ad725385d624d5cc162d57,,,115,-36,1,0,0,response3disk,1.333,-13,8,1,0,0,rectangle,-13,8,1,0,0,,2,"[110,64,67,109,19,144,36,78,107,67]",-13,8,1,0,0,0,2,2,1,1,Red,Red.jpg,Yellow,Yellow.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ismo,001,2021-12-06_04h17.11,jm_natural_scene_simialrity_2-12-2021,2021.2.3,MacIntel,62.5,60ff2b881b69fe44acefde87,61ad71e11ddd29ccf7a27d5b,61ad725385d624d5cc162d57,,,-55,102,1,0,0,response7disk,0.884,-1,-8,1,0,0,rectangle,-1,-8,1,0,0,,2,"[110,64,67,109,19,144,36,78,107,67]",-1,-8,1,0,0,0,3,3,28,1,DarkGreen,DarkGreen.jpg,Pink,Pink.jpg,,
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ismo,001,2021-12-06_04h17.11,jm_natural_scene_simialrity_2-12-2021,2021.2.3,MacIntel,62.5,60ff2b881b69fe44acefde87,61ad71e11ddd29ccf7a27d5b,61ad725385d624d5cc162d57,,,-77,-38,1,0,0,response5disk,1.767,-1,-14,1,0,0,rectangle,-1,-14,1,0,0,,2,"[110,64,67,109,19,144,36,78,107,67]",-1,-14,1,0,0,0,4,4,4,1,Red,Red.jpg,Turquiose,Turquiose.jpg,,
,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ismo,001,2021-12-06_04h17.11,jm_natural_scene_simialrity_2-12-2021,2021.2.3,MacIntel,62.5,60ff2b881b69fe44acefde87,61ad71e11ddd29ccf7a27d5b,61ad725385d624d5cc162d57,,,-54,-95,1,0,0,response5disk,2.515,-8,6,1,0,0,rectangle,-8,6,1,0,0,,1,"[110,64,67,109,19,144,36,78,107,67]",-8,6,1,0,0,0,5,5,25,1,DarkGreen,DarkGreen.jpg,Turquiose,Turquiose.jpg,,
