key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_catch_prac.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,3.4565,space,23.1782,space,5.0038,space,11.2938,space,30.136,space,8.0585,68.80001247,118.3999953,1,0,0,response1disk_5,4,0.800011456,-5.600006521,1,0,0,rectangle_8,0.800011456,-5.600006521,1,0,0,-3,0.800011456,-5.600006521,1,0,0,0,0,0,3,1,trail2,trail2.jpg,trail2,trail2.jpg,610177c9106fb8fd8badf8b7,001,2021-12-16_17h07.29.257,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,58.84083554,610177c9106fb8fd8badf8b7,61bbc5c79a1c66460f44041e,61bbc6504ac63c67db7b070c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-39.99998915,35.9999941,1,0,0,response7disk_5,-3,-6.399939823,-0.800006449,1,0,0,rectangle_8,-6.399939823,-0.800006449,1,0,0,-3,-6.399939823,-0.800006449,1,0,0,0,1,1,4,1,trail2,trail2.jpg,trail3,trail3.jpg,610177c9106fb8fd8badf8b7,001,2021-12-16_17h07.29.257,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,58.84083554,610177c9106fb8fd8badf8b7,61bbc5c79a1c66460f44041e,61bbc6504ac63c67db7b070c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,46.40001214,71.99999464,1,0,0,response1disk_5,4,4.800011516,1.599993587,1,0,0,rectangle_8,4.800011516,1.599993587,1,0,0,-3,4.800011516,1.599993587,1,0,0,0,2,2,5,1,trail3,trail3.jpg,trail3,trail3.jpg,610177c9106fb8fd8badf8b7,001,2021-12-16_17h07.29.257,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,58.84083554,610177c9106fb8fd8badf8b7,61bbc5c79a1c66460f44041e,61bbc6504ac63c67db7b070c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-73.59998965,40.79999417,1,0,0,response7disk_5,-3,-10.39993988,-1.600006461,1,0,0,rectangle_8,-10.39993988,-1.600006461,1,0,0,-3,-10.39993988,-1.600006461,1,0,0,0,3,3,2,1,trail1,trail1.jpg,trail3,trail3.jpg,610177c9106fb8fd8badf8b7,001,2021-12-16_17h07.29.257,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,58.84083554,610177c9106fb8fd8badf8b7,61bbc5c79a1c66460f44041e,61bbc6504ac63c67db7b070c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,36.00001198,75.19997027,1,0,0,response1disk_5,4,-4.799988627,-8.800006568,1,0,0,rectangle_8,-114.3999414,54.39999437,1,0,0,-3,4.000011504,-1.600006461,1,0,0,0,4,4,0,1,trail1,trail1.jpg,trail1,trail1.jpg,610177c9106fb8fd8badf8b7,001,2021-12-16_17h07.29.257,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,58.84083554,610177c9106fb8fd8badf8b7,61bbc5c79a1c66460f44041e,61bbc6504ac63c67db7b070c,response7disk_7,-3,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-48.79998928,99.99999505,1,0,0,response7disk_5,-4,-7.199988663,-4.800006509,1,0,0,rectangle_8,-7.199988663,-4.800006509,1,0,0,-3,-7.199988663,-4.800006509,1,0,0,0,5,5,1,1,trail1,trail1.jpg,trail2,trail2.jpg,610177c9106fb8fd8badf8b7,001,2021-12-16_17h07.29.257,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,58.84083554,610177c9106fb8fd8badf8b7,61bbc5c79a1c66460f44041e,61bbc6504ac63c67db7b070c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,610177c9106fb8fd8badf8b7,001,2021-12-16_17h07.29.257,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,58.84083554,610177c9106fb8fd8badf8b7,61bbc5c79a1c66460f44041e,61bbc6504ac63c67db7b070c,,,,space,2.3159,62.40001237,-27.20000684,1,0,0,response3disk,8.2838,8.000011563,-3.200006485,1,0,0,rectangle,8.000011563,-3.200006485,1,0,0,,-1,"[159,51,148,138,40,84,130,128,12,74]",8.000011563,-3.200006485,1,0,0,0,0,0,61,1,Turquiose,Turquiose.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,610177c9106fb8fd8badf8b7,001,2021-12-16_17h07.29.257,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,58.84083554,610177c9106fb8fd8badf8b7,61bbc5c79a1c66460f44041e,61bbc6504ac63c67db7b070c,,,,,,-85.59998983,108.7999952,1,0,0,response7disk,1.6831,8.800011575,-12.80000663,1,0,0,rectangle,8.800011575,-12.80000663,1,0,0,,-2,"[159,51,148,138,40,84,130,128,12,74]",8.800011575,-12.80000663,1,0,0,0,1,1,54,1,DarkGreen,DarkGreen.jpg,Yellow,Yellow.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,610177c9106fb8fd8badf8b7,001,2021-12-16_17h07.29.257,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,58.84083554,610177c9106fb8fd8badf8b7,61bbc5c79a1c66460f44041e,61bbc6504ac63c67db7b070c,,,,,,-31.19998902,79.99999475,1,0,0,response7disk,1.0791,1.14441E-05,3.19999361,1,0,0,rectangle,1.14441E-05,3.19999361,1,0,0,,-2,"[159,51,148,138,40,84,130,128,12,74]",1.14441E-05,3.19999361,1,0,0,0,2,2,16,1,Yellow,Yellow.jpg,Purple,Purple.jpg,,
,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,610177c9106fb8fd8badf8b7,001,2021-12-16_17h07.29.257,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,58.84083554,610177c9106fb8fd8badf8b7,61bbc5c79a1c66460f44041e,61bbc6504ac63c67db7b070c,,,,,,77.6000126,-52.00000721,1,0,0,response3disk,2.329,-5.599988639,3.19999361,1,0,0,rectangle,-5.599988639,3.19999361,1,0,0,,-3,"[159,51,148,138,40,84,130,128,12,74]",-5.599988639,3.19999361,1,0,0,0,3,3,77,1,Purple,Purple.jpg,LightBlue,LightBlue.jpg,,
