key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_catch_prac.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,2.0064,space,18.135,space,4.4198,space,7.4636,space,29.8776,space,8.6206,112.0000224,42.66665721,1,0,0,response1disk_5,3,1.333393137,-2.666677475,1,0,0,rectangle_8,1.333393137,-2.666677475,1,0,0,3,1.333393137,-2.666677475,1,0,0,0,0,0,4,1,trail2,trail2.jpg,trail3,trail3.jpg,613a9a0390a4c691677c1440,001,2021-12-16_16h06.36.099,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.0060006,613a9a0390a4c691677c1440,61bbc5c79a1c66460f44041e,61bbc65e706e9b1ffbaa76ef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-39.99998212,-94.00001353,1,0,0,response5disk_5,-1,-1.3333143,3.99998939,1,0,0,rectangle_8,110.666689,43.33330355,1,0,0,3,-0.666606923,5.333322763,1,0,0,0,1,1,1,1,trail1,trail1.jpg,trail2,trail2.jpg,613a9a0390a4c691677c1440,001,2021-12-16_16h06.36.099,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.0060006,613a9a0390a4c691677c1440,61bbc5c79a1c66460f44041e,61bbc65e706e9b1ffbaa76ef,response1disk_7,3,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,61.33335423,95.99999213,1,0,0,response1disk_5,4,4.666685879,1.333322644,1,0,0,rectangle_8,4.666685879,1.333322644,1,0,0,3,4.666685879,1.333322644,1,0,0,0,2,2,3,1,trail2,trail2.jpg,trail2,trail2.jpg,613a9a0390a4c691677c1440,001,2021-12-16_16h06.36.099,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.0060006,613a9a0390a4c691677c1440,61bbc5c79a1c66460f44041e,61bbc65e706e9b1ffbaa76ef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,56.00002074,95.3333051,1,0,0,response1disk_5,4,3.333393196,10.66665626,1,0,0,rectangle_8,3.333393196,10.66665626,1,0,0,3,3.333393196,10.66665626,1,0,0,0,3,3,0,1,trail1,trail1.jpg,trail1,trail1.jpg,613a9a0390a4c691677c1440,001,2021-12-16_16h06.36.099,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.0060006,613a9a0390a4c691677c1440,61bbc5c79a1c66460f44041e,61bbc65e706e9b1ffbaa76ef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,56.66668743,99.33330522,1,0,0,response1disk_5,4,-1.3333143,0.666655958,1,0,0,rectangle_8,-1.3333143,0.666655958,1,0,0,3,-1.3333143,0.666655958,1,0,0,0,4,4,5,1,trail3,trail3.jpg,trail3,trail3.jpg,613a9a0390a4c691677c1440,001,2021-12-16_16h06.36.099,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.0060006,613a9a0390a4c691677c1440,61bbc5c79a1c66460f44041e,61bbc65e706e9b1ffbaa76ef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,94.66668856,-27.33334488,1,0,0,response3disk_5,2,4.000019193,1.333322644,1,0,0,rectangle_8,4.000019193,1.333322644,1,0,0,3,4.000019193,1.333322644,1,0,0,0,5,5,2,1,trail1,trail1.jpg,trail3,trail3.jpg,613a9a0390a4c691677c1440,001,2021-12-16_16h06.36.099,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.0060006,613a9a0390a4c691677c1440,61bbc5c79a1c66460f44041e,61bbc65e706e9b1ffbaa76ef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,613a9a0390a4c691677c1440,001,2021-12-16_16h06.36.099,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.0060006,613a9a0390a4c691677c1440,61bbc5c79a1c66460f44041e,61bbc65e706e9b1ffbaa76ef,,,,space,1.7171,-23.33331496,107.9999925,1,0,0,response7disk,2.1511,2.000019133,-0.666677415,1,0,0,rectangle,2.000019133,-0.666677415,1,0,0,,1,"[72,11,5,156,47,140,76,6,124,39]",2.000019133,-0.666677415,1,0,0,0,0,0,61,1,Turquiose,Turquiose.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,613a9a0390a4c691677c1440,001,2021-12-16_16h06.36.099,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.0060006,613a9a0390a4c691677c1440,61bbc5c79a1c66460f44041e,61bbc65e706e9b1ffbaa76ef,,,,,,-48.66660835,85.99999183,1,0,0,response7disk,1.8505,6.666685939,-3.333344162,1,0,0,rectangle,6.666685939,-3.333344162,1,0,0,,-3,"[72,11,5,156,47,140,76,6,124,39]",6.666685939,-3.333344162,1,0,0,0,1,1,54,1,DarkGreen,DarkGreen.jpg,Yellow,Yellow.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,613a9a0390a4c691677c1440,001,2021-12-16_16h06.36.099,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.0060006,613a9a0390a4c691677c1440,61bbc5c79a1c66460f44041e,61bbc65e706e9b1ffbaa76ef,,,,,,-36.666608,101.3333053,1,0,0,response7disk,2.6341,5.333393256,-2.000010788,1,0,0,rectangle,5.333393256,-2.000010788,1,0,0,,-2,"[72,11,5,156,47,140,76,6,124,39]",5.333393256,-2.000010788,1,0,0,0,2,2,16,1,Yellow,Yellow.jpg,Purple,Purple.jpg,,
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,613a9a0390a4c691677c1440,001,2021-12-16_16h06.36.099,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.0060006,613a9a0390a4c691677c1440,61bbc5c79a1c66460f44041e,61bbc65e706e9b1ffbaa76ef,,,,,,-87.99998355,-62.00001258,1,0,0,response5disk,4.1512,-12.66660728,3.333322704,1,0,0,rectangle,-12.66660728,3.333322704,1,0,0,,-1,"[72,11,5,156,47,140,76,6,124,39]",-12.66660728,3.333322704,1,0,0,0,3,3,77,1,Purple,Purple.jpg,LightBlue,LightBlue.jpg,,
