key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_catch_prac.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,6.2495,space,27.6485,space,8.1757,space,117.5274,space,51.3222,space,10.7996,45.33335376,-76.00001299,0,0,1,response3disk_5,1,8.666685998,10.66665626,1,0,0,rectangle_8,8.666685998,10.66665626,1,0,0,3,8.666685998,10.66665626,1,0,0,0,0,0,1,1,trail1,trail1.jpg,trail2,trail2.jpg,6164280eaf0c4e12bf0a66df,001,2021-12-17_01h07.14.256,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,58.8373735,6164280eaf0c4e12bf0a66df,61bbc5c79a1c66460f44041e,61bbc664bdfa68bcf085fb5f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,84.00002158,41.99999052,1,0,0,response1disk_5,3,-16.6666074,-1.07288E-05,1,0,0,rectangle_8,-16.6666074,-1.07288E-05,1,0,0,3,-16.6666074,-1.07288E-05,1,0,0,0,1,1,5,1,trail3,trail3.jpg,trail3,trail3.jpg,6164280eaf0c4e12bf0a66df,001,2021-12-17_01h07.14.256,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,58.8373735,6164280eaf0c4e12bf0a66df,61bbc5c79a1c66460f44041e,61bbc664bdfa68bcf085fb5f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,30.66668665,93.99999207,1,0,0,response1disk_5,4,-17.33331478,13.99998969,1,0,0,rectangle_8,-17.33331478,13.99998969,1,0,0,3,-17.33331478,13.99998969,1,0,0,0,2,2,2,1,trail1,trail1.jpg,trail3,trail3.jpg,6164280eaf0c4e12bf0a66df,001,2021-12-17_01h07.14.256,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,58.8373735,6164280eaf0c4e12bf0a66df,61bbc5c79a1c66460f44041e,61bbc664bdfa68bcf085fb5f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,86.00002164,43.99999058,1,0,0,response1disk_5,3,14.00001949,-7.333344281,1,0,0,rectangle_8,14.00001949,-7.333344281,1,0,0,3,14.00001949,-7.333344281,1,0,0,0,3,3,3,1,trail2,trail2.jpg,trail2,trail2.jpg,6164280eaf0c4e12bf0a66df,001,2021-12-17_01h07.14.256,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,58.8373735,6164280eaf0c4e12bf0a66df,61bbc5c79a1c66460f44041e,61bbc664bdfa68bcf085fb5f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,62.66668761,-123.3333477,1,0,0,response3disk_5,1,0.66668576,4.666656077,1,0,0,rectangle_8,100.0000221,62.66665781,1,0,0,3,-1.3333143,-8.666677654,1,0,0,0,4,4,4,1,trail2,trail2.jpg,trail3,trail3.jpg,6164280eaf0c4e12bf0a66df,001,2021-12-17_01h07.14.256,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,58.8373735,6164280eaf0c4e12bf0a66df,61bbc5c79a1c66460f44041e,61bbc664bdfa68bcf085fb5f,response1disk_7,3,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,90.66668844,69.33330433,1,0,0,response1disk_5,3,-9.333314538,-1.333344102,1,0,0,rectangle_8,-9.333314538,-1.333344102,1,0,0,3,-9.333314538,-1.333344102,1,0,0,0,5,5,0,1,trail1,trail1.jpg,trail1,trail1.jpg,6164280eaf0c4e12bf0a66df,001,2021-12-17_01h07.14.256,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,58.8373735,6164280eaf0c4e12bf0a66df,61bbc5c79a1c66460f44041e,61bbc664bdfa68bcf085fb5f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,6164280eaf0c4e12bf0a66df,001,2021-12-17_01h07.14.256,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,58.8373735,6164280eaf0c4e12bf0a66df,61bbc5c79a1c66460f44041e,61bbc664bdfa68bcf085fb5f,,,,space,35.0434,81.33335483,121.6666606,1,0,0,response1disk,23.8067,2.000019133,18.33330388,1,0,0,rectangle,2.000019133,18.33330388,1,0,0,,-4,"[96,67,82,100,51,34,31,107,107,120]",2.000019133,18.33330388,1,0,0,0,0,0,61,1,Turquiose,Turquiose.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,6164280eaf0c4e12bf0a66df,001,2021-12-17_01h07.14.256,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,58.8373735,6164280eaf0c4e12bf0a66df,61bbc5c79a1c66460f44041e,61bbc664bdfa68bcf085fb5f,,,,,,-45.9999823,-74.3333452,1,0,0,response5disk,6.6974,6.000019252,-7.666696896,1,0,0,rectangle,6.000019252,-7.666696896,1,0,0,,1,"[96,67,82,100,51,34,31,107,107,120]",6.000019252,-7.666696896,1,0,0,0,1,1,54,1,DarkGreen,DarkGreen.jpg,Yellow,Yellow.jpg,,
,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,6164280eaf0c4e12bf0a66df,001,2021-12-17_01h07.14.256,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,58.8373735,6164280eaf0c4e12bf0a66df,61bbc5c79a1c66460f44041e,61bbc664bdfa68bcf085fb5f,,,,,,-61.33331609,-91.66667905,1,0,0,response5disk,2.2215,16.00001955,-9.666696956,1,0,0,rectangle,16.00001955,-9.666696956,1,0,0,,-2,"[96,67,82,100,51,34,31,107,107,120]",16.00001955,-9.666696956,1,0,0,0,2,2,16,1,Yellow,Yellow.jpg,Purple,Purple.jpg,,
,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,6164280eaf0c4e12bf0a66df,001,2021-12-17_01h07.14.256,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,58.8373735,6164280eaf0c4e12bf0a66df,61bbc5c79a1c66460f44041e,61bbc664bdfa68bcf085fb5f,,,,,,111.3333557,89.66665968,1,0,0,response1disk,3.0443,-9.999981225,0.333303342,1,0,0,rectangle,-9.999981225,0.333303342,1,0,0,,-4,"[96,67,82,100,51,34,31,107,107,120]",-9.999981225,0.333303342,1,0,0,0,3,3,77,1,Purple,Purple.jpg,LightBlue,LightBlue.jpg,,
