key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_catch_prac.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,2.4762,space,18.287,space,6.5626,space,26.5186,space,28.5142,space,9.5615,-50.66660841,99.33330522,1,0,0,response7disk_5,-4,-0.666606923,-2.666677475,1,0,0,rectangle_8,-0.666606923,-2.666677475,1,0,0,-4,-0.666606923,-2.666677475,1,0,0,0,0,0,4,1,trail2,trail2.jpg,trail3,trail3.jpg,6166012a41328d4db80950d0,001,2021-12-16_23h05.18.046,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.03121623,6166012a41328d4db80950d0,61bbc5c79a1c66460f44041e,61bbc611b6193492b9382bfc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,52.66668731,92.6666587,1,0,0,response1disk_5,4,5.333393256,-0.666677415,1,0,0,rectangle_8,-61.99998277,127.9999931,1,0,0,-4,-5.333314419,6.666656137,1,0,0,0,1,1,3,1,trail2,trail2.jpg,trail2,trail2.jpg,6166012a41328d4db80950d0,001,2021-12-16_23h05.18.046,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.03121623,6166012a41328d4db80950d0,61bbc5c79a1c66460f44041e,61bbc611b6193492b9382bfc,response7disk_7,-4,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-64.66660883,105.9999924,1,0,0,response7disk_5,-4,-4.666607042,-8.000010967,1,0,0,rectangle_8,-4.666607042,-8.000010967,1,0,0,-4,-4.666607042,-8.000010967,1,0,0,0,2,2,1,1,trail1,trail1.jpg,trail2,trail2.jpg,6166012a41328d4db80950d0,001,2021-12-16_23h05.18.046,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.03121623,6166012a41328d4db80950d0,61bbc5c79a1c66460f44041e,61bbc611b6193492b9382bfc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,52.00002062,93.99999207,1,0,0,response1disk_5,4,-0.666606923,-1.333344102,1,0,0,rectangle_8,-0.666606923,-1.333344102,1,0,0,-4,-0.666606923,-1.333344102,1,0,0,0,3,3,5,1,trail3,trail3.jpg,trail3,trail3.jpg,6166012a41328d4db80950d0,001,2021-12-16_23h05.18.046,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.03121623,6166012a41328d4db80950d0,61bbc5c79a1c66460f44041e,61bbc611b6193492b9382bfc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,44.66668707,97.33330516,1,0,0,response1disk_5,4,7.333393315,1.333322644,1,0,0,rectangle_8,7.333393315,1.333322644,1,0,0,-4,7.333393315,1.333322644,1,0,0,0,4,4,0,1,trail1,trail1.jpg,trail1,trail1.jpg,6166012a41328d4db80950d0,001,2021-12-16_23h05.18.046,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.03121623,6166012a41328d4db80950d0,61bbc5c79a1c66460f44041e,61bbc611b6193492b9382bfc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-72.66660907,-39.33334523,1,0,0,response5disk_5,-2,-6.666607102,3.333322704,1,0,0,rectangle_8,-6.666607102,3.333322704,1,0,0,-4,-6.666607102,3.333322704,1,0,0,0,5,5,2,1,trail1,trail1.jpg,trail3,trail3.jpg,6166012a41328d4db80950d0,001,2021-12-16_23h05.18.046,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.03121623,6166012a41328d4db80950d0,61bbc5c79a1c66460f44041e,61bbc611b6193492b9382bfc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,6166012a41328d4db80950d0,001,2021-12-16_23h05.18.046,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.03121623,6166012a41328d4db80950d0,61bbc5c79a1c66460f44041e,61bbc611b6193492b9382bfc,,,,space,2.5007,-73.99998313,118.6666595,1,0,0,response7disk,1.3331,-1.3333143,7.333322823,1,0,0,rectangle,-1.3333143,7.333322823,1,0,0,,2,"[21,128,93,38,149,94,113,75,30,25]",-1.3333143,7.333322823,1,0,0,0,0,0,61,1,Turquiose,Turquiose.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,6166012a41328d4db80950d0,001,2021-12-16_23h05.18.046,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.03121623,6166012a41328d4db80950d0,61bbc5c79a1c66460f44041e,61bbc611b6193492b9382bfc,,,,,,-45.9999823,87.33330486,1,0,0,response7disk,0.9827,-1.999980986,-5.333344221,1,0,0,rectangle,-1.999980986,-5.333344221,1,0,0,,3,"[21,128,93,38,149,94,113,75,30,25]",-1.999980986,-5.333344221,1,0,0,0,1,1,54,1,DarkGreen,DarkGreen.jpg,Yellow,Yellow.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,6166012a41328d4db80950d0,001,2021-12-16_23h05.18.046,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.03121623,6166012a41328d4db80950d0,61bbc5c79a1c66460f44041e,61bbc611b6193492b9382bfc,,,,,,-49.99998242,91.33330498,1,0,0,response7disk,1.1504,2.000019133,-1.333344102,1,0,0,rectangle,2.000019133,-1.333344102,1,0,0,,1,"[21,128,93,38,149,94,113,75,30,25]",2.000019133,-1.333344102,1,0,0,0,2,2,16,1,Yellow,Yellow.jpg,Purple,Purple.jpg,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6166012a41328d4db80950d0,001,2021-12-16_23h05.18.046,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.03121623,6166012a41328d4db80950d0,61bbc5c79a1c66460f44041e,61bbc611b6193492b9382bfc,,,,,,32.66668671,-94.00001353,1,0,0,response3disk,1.6132,5.333393256,3.333322704,1,0,0,rectangle,5.333393256,3.333322704,1,0,0,,-1,"[21,128,93,38,149,94,113,75,30,25]",5.333393256,3.333322704,1,0,0,0,3,3,77,1,Purple,Purple.jpg,LightBlue,LightBlue.jpg,,
