key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_catch_prac.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,3.705,space,21.4604,space,3.7745,space,5.6908,space,15.3814,space,3.8996,92,-57,1,0,0,response3disk_5,2,-5,-5,1,0,0,rectangle_8,-5,-5,1,0,0,-1,-5,-5,1,0,0,0,0,0,0,1,trail1,trail1.jpg,trail1,trail1.jpg,,001,2021-12-16_23h13.32.115,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.99880002,5d131f87906ece001a15fb92,61bbc5c79a1c66460f44041e,61bbc64b3aed3d2d6f395b45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-102,66,1,0,0,response7disk_5,-3,-6,-18,1,0,0,rectangle_8,-6,-18,1,0,0,-1,-6,-18,1,0,0,0,1,1,2,1,trail1,trail1.jpg,trail3,trail3.jpg,,001,2021-12-16_23h13.32.115,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.99880002,5d131f87906ece001a15fb92,61bbc5c79a1c66460f44041e,61bbc64b3aed3d2d6f395b45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,33,99,1,0,0,response1disk_5,4,-3,8,1,0,0,rectangle_8,-3,8,1,0,0,-1,-3,8,1,0,0,0,2,2,3,1,trail2,trail2.jpg,trail2,trail2.jpg,,001,2021-12-16_23h13.32.115,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.99880002,5d131f87906ece001a15fb92,61bbc5c79a1c66460f44041e,61bbc64b3aed3d2d6f395b45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,69,-32,1,0,0,response3disk_5,2,12,-13,1,0,0,rectangle_8,-60,-114,1,0,0,-1,-5,-7,1,0,0,0,3,3,1,1,trail1,trail1.jpg,trail2,trail2.jpg,,001,2021-12-16_23h13.32.115,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.99880002,5d131f87906ece001a15fb92,61bbc5c79a1c66460f44041e,61bbc64b3aed3d2d6f395b45,response5disk_7,-1,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-63,42,1,0,0,response7disk_5,-3,1,3,1,0,0,rectangle_8,-50,-107,1,0,0,-1,-2,5,1,0,0,0,4,4,4,1,trail2,trail2.jpg,trail3,trail3.jpg,,001,2021-12-16_23h13.32.115,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.99880002,5d131f87906ece001a15fb92,61bbc5c79a1c66460f44041e,61bbc64b3aed3d2d6f395b45,response5disk_7,-1,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,47,89,1,0,0,response1disk_5,4,-11,1,1,0,0,rectangle_8,-11,1,1,0,0,-1,-11,1,1,0,0,0,5,5,5,1,trail3,trail3.jpg,trail3,trail3.jpg,,001,2021-12-16_23h13.32.115,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.99880002,5d131f87906ece001a15fb92,61bbc5c79a1c66460f44041e,61bbc64b3aed3d2d6f395b45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-16_23h13.32.115,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.99880002,5d131f87906ece001a15fb92,61bbc5c79a1c66460f44041e,61bbc64b3aed3d2d6f395b45,,,,space,2.0847,-95,-50,1,0,0,response5disk,2.3522,-4,1,1,0,0,rectangle,-4,1,1,0,0,,-1,"[41,11,74,6,22,106,152,62,124,44]",-4,1,1,0,0,0,0,0,61,1,Turquiose,Turquiose.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-16_23h13.32.115,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.99880002,5d131f87906ece001a15fb92,61bbc5c79a1c66460f44041e,61bbc64b3aed3d2d6f395b45,,,,,,-46,94,1,0,0,response7disk,1.5672,9,7,1,0,0,rectangle,9,7,1,0,0,,1,"[41,11,74,6,22,106,152,62,124,44]",9,7,1,0,0,0,1,1,54,1,DarkGreen,DarkGreen.jpg,Yellow,Yellow.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-16_23h13.32.115,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.99880002,5d131f87906ece001a15fb92,61bbc5c79a1c66460f44041e,61bbc64b3aed3d2d6f395b45,,,,,,-46,94,1,0,0,response7disk,1.1514,-6,0,1,0,0,rectangle,-6,0,1,0,0,,-1,"[41,11,74,6,22,106,152,62,124,44]",-6,0,1,0,0,0,2,2,16,1,Yellow,Yellow.jpg,Purple,Purple.jpg,,
,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-16_23h13.32.115,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.99880002,5d131f87906ece001a15fb92,61bbc5c79a1c66460f44041e,61bbc64b3aed3d2d6f395b45,,,,,,85,61,1,0,0,response1disk,1.7303,-7,0,1,0,0,rectangle,-7,0,1,0,0,,-2,"[41,11,74,6,22,106,152,62,124,44]",-7,0,1,0,0,0,3,3,77,1,Purple,Purple.jpg,LightBlue,LightBlue.jpg,,
,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-16_23h13.32.115,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.99880002,5d131f87906ece001a15fb92,61bbc5c79a1c66460f44041e,61bbc64b3aed3d2d6f395b45,,,,,,85,-72,1,0,0,response3disk,1.8833,-3,-1,1,0,0,rectangle,-3,-1,1,0,0,,-1,"[41,11,74,6,22,106,152,62,124,44]",-3,-1,1,0,0,0,4,4,26,1,DarkGreen,DarkGreen.jpg,LightBlue,LightBlue.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-16_23h13.32.115,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.99880002,5d131f87906ece001a15fb92,61bbc5c79a1c66460f44041e,61bbc64b3aed3d2d6f395b45,,,,,,-62,139,1,0,0,response7disk,1.0168,-5,4,1,0,0,rectangle,-94,46,1,0,0,-3,-3,"[41,11,74,6,22,106,152,62,124,44]",6,-2,1,0,0,0,5,5,69,1,Pink,Pink.jpg,DarkGreen,DarkGreen.jpg,response7disk_3,rectangle
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-16_23h13.32.115,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.99880002,5d131f87906ece001a15fb92,61bbc5c79a1c66460f44041e,61bbc64b3aed3d2d6f395b45,,,,,,-32,89,1,0,0,response7disk,1.3352,-3,-15,1,0,0,rectangle,-3,-15,1,0,0,-3,-3,"[41,11,74,6,22,106,152,62,124,44]",-3,-15,1,0,0,0,6,6,5,1,Red,Red.jpg,LightBlue,LightBlue.jpg,,
,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-16_23h13.32.115,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.99880002,5d131f87906ece001a15fb92,61bbc5c79a1c66460f44041e,61bbc64b3aed3d2d6f395b45,,,,,,116,-47,1,0,0,response3disk,2.9677,5,13,1,0,0,rectangle,5,13,1,0,0,-3,-4,"[41,11,74,6,22,106,152,62,124,44]",5,13,1,0,0,0,7,7,43,1,Pink,Pink.jpg,Purple,Purple.jpg,,
,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-16_23h13.32.115,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.99880002,5d131f87906ece001a15fb92,61bbc5c79a1c66460f44041e,61bbc64b3aed3d2d6f395b45,,,,,,55,91,1,0,0,response1disk,1.216,-18,2,1,0,0,rectangle,-18,2,1,0,0,-3,-2,"[41,11,74,6,22,106,152,62,124,44]",-18,2,1,0,0,0,8,8,0,1,Red,Red.jpg,Red,Red.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-16_23h13.32.115,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.99880002,5d131f87906ece001a15fb92,61bbc5c79a1c66460f44041e,61bbc64b3aed3d2d6f395b45,,,,,,-58,82,1,0,0,response7disk,1.9001,3,-4,1,0,0,rectangle,3,-4,1,0,0,-3,3,"[41,11,74,6,22,106,152,62,124,44]",3,-4,1,0,0,0,9,9,28,1,DarkGreen,DarkGreen.jpg,Pink,Pink.jpg,,
,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-16_23h13.32.115,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.99880002,5d131f87906ece001a15fb92,61bbc5c79a1c66460f44041e,61bbc64b3aed3d2d6f395b45,,,,,,72,-25,1,0,0,response3disk,1.6369,-4,7,1,0,0,rectangle,99,39,1,0,0,3,3,"[41,11,74,6,22,106,152,62,124,44]",-7,-1,1,0,0,0,10,10,32,1,Turquiose,Turquiose.jpg,DarkBlue,DarkBlue.jpg,response1disk_3,rectangle
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-16_23h13.32.115,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.99880002,5d131f87906ece001a15fb92,61bbc5c79a1c66460f44041e,61bbc64b3aed3d2d6f395b45,,,,,,-46,123,1,0,0,response7disk,1.4008,1,2,1,0,0,rectangle,1,2,1,0,0,3,3,"[41,11,74,6,22,106,152,62,124,44]",1,2,1,0,0,0,11,11,33,1,Turquiose,Turquiose.jpg,Pink,Pink.jpg,,
,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-16_23h13.32.115,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.99880002,5d131f87906ece001a15fb92,61bbc5c79a1c66460f44041e,61bbc64b3aed3d2d6f395b45,,,,,,98,-73,1,0,0,response3disk,1.9686,-3,-4,1,0,0,rectangle,-3,-4,1,0,0,3,1,"[41,11,74,6,22,106,152,62,124,44]",-3,-4,1,0,0,0,12,12,52,1,Purple,Purple.jpg,Red,Red.jpg,,
