key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,mouse_catch_prac.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,2.7719,space,15.3871,space,3.7019,space,8.1017,space,15.0935,space,4.1134,-85,62,1,0,0,response7disk_5,-3,3,1,1,0,0,rectangle_8,118,40,1,0,0,response1disk_7,3,3,6,4,1,0,0,rectangle_4,0,0,0,4,1,trail2,trail2.jpg,trail3,trail3.jpg,,001,2021-12-17_24h04.33.604,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.13590715,5e67a7d13413ff01776d1ed8,61bbc5c79a1c66460f44041e,61bbc6065f3e205d59c2e42b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-76,-28,1,0,0,response5disk_5,-2,-6,0,1,0,0,rectangle_8,-6,0,1,0,0,,,3,-6,0,1,0,0,,0,1,1,2,1,trail1,trail1.jpg,trail3,trail3.jpg,,001,2021-12-17_24h04.33.604,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.13590715,5e67a7d13413ff01776d1ed8,61bbc5c79a1c66460f44041e,61bbc6065f3e205d59c2e42b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-82,-35,1,0,0,response5disk_5,-2,-13,-3,1,0,0,rectangle_8,-13,-3,1,0,0,,,3,-13,-3,1,0,0,,0,2,2,1,1,trail1,trail1.jpg,trail2,trail2.jpg,,001,2021-12-17_24h04.33.604,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.13590715,5e67a7d13413ff01776d1ed8,61bbc5c79a1c66460f44041e,61bbc6065f3e205d59c2e42b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,45,115,1,0,0,response1disk_5,4,-7,8,1,0,0,rectangle_8,-7,8,1,0,0,,,3,-7,8,1,0,0,,0,3,3,3,1,trail2,trail2.jpg,trail2,trail2.jpg,,001,2021-12-17_24h04.33.604,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.13590715,5e67a7d13413ff01776d1ed8,61bbc5c79a1c66460f44041e,61bbc6065f3e205d59c2e42b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,41,119,1,0,0,response1disk_5,4,4,-1,1,0,0,rectangle_8,112,41,1,0,0,response1disk_7,3,3,2,7,1,0,0,rectangle_4,0,4,4,0,1,trail1,trail1.jpg,trail1,trail1.jpg,,001,2021-12-17_24h04.33.604,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.13590715,5e67a7d13413ff01776d1ed8,61bbc5c79a1c66460f44041e,61bbc6065f3e205d59c2e42b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,57,99,1,0,0,response1disk_5,4,-4,6,1,0,0,rectangle_8,-4,6,1,0,0,,,3,-4,6,1,0,0,,0,5,5,5,1,trail3,trail3.jpg,trail3,trail3.jpg,,001,2021-12-17_24h04.33.604,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.13590715,5e67a7d13413ff01776d1ed8,61bbc5c79a1c66460f44041e,61bbc6065f3e205d59c2e42b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-17_24h04.33.604,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.13590715,5e67a7d13413ff01776d1ed8,61bbc5c79a1c66460f44041e,61bbc6065f3e205d59c2e42b,space,0.9129,-115,-36,1,0,0,response5disk,6.65,-5,-2,1,0,0,rectangle,-5,-2,1,0,0,,-2,"[44,9,101,130,65,88,95,156,58,115]",-5,-2,1,0,0,0,0,0,61,1,Turquiose,Turquiose.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-17_24h04.33.604,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.13590715,5e67a7d13413ff01776d1ed8,61bbc5c79a1c66460f44041e,61bbc6065f3e205d59c2e42b,,,99,-36,1,0,0,response3disk,12.3162,7,-7,1,0,0,rectangle,7,-7,1,0,0,,2,"[44,9,101,130,65,88,95,156,58,115]",7,-7,1,0,0,0,1,1,54,1,DarkGreen,DarkGreen.jpg,Yellow,Yellow.jpg,,
,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-17_24h04.33.604,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.13590715,5e67a7d13413ff01776d1ed8,61bbc5c79a1c66460f44041e,61bbc6065f3e205d59c2e42b,,,100,39,1,0,0,response1disk,4.4332,6,-7,1,0,0,rectangle,6,-7,1,0,0,,-3,"[44,9,101,130,65,88,95,156,58,115]",6,-7,1,0,0,0,2,2,16,1,Yellow,Yellow.jpg,Purple,Purple.jpg,,
,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-17_24h04.33.604,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.13590715,5e67a7d13413ff01776d1ed8,61bbc5c79a1c66460f44041e,61bbc6065f3e205d59c2e42b,,,97,-44,1,0,0,response3disk,4.9005,-2,-1,1,0,0,rectangle,-2,-1,1,0,0,,3,"[44,9,101,130,65,88,95,156,58,115]",-2,-1,1,0,0,0,3,3,77,1,Purple,Purple.jpg,LightBlue,LightBlue.jpg,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-17_24h04.33.604,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.13590715,5e67a7d13413ff01776d1ed8,61bbc5c79a1c66460f44041e,61bbc6065f3e205d59c2e42b,,,34,-102,1,0,0,response3disk,2.5835,-11,0,1,0,0,rectangle,-11,0,1,0,0,,-3,"[44,9,101,130,65,88,95,156,58,115]",-11,0,1,0,0,0,4,4,26,1,DarkGreen,DarkGreen.jpg,LightBlue,LightBlue.jpg,,
,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-17_24h04.33.604,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.13590715,5e67a7d13413ff01776d1ed8,61bbc5c79a1c66460f44041e,61bbc6065f3e205d59c2e42b,,,72,-37,1,0,0,response3disk,2.6331,12,4,1,0,0,rectangle,12,4,1,0,0,,-1,"[44,9,101,130,65,88,95,156,58,115]",12,4,1,0,0,0,5,5,69,1,Pink,Pink.jpg,DarkGreen,DarkGreen.jpg,,
