key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_catch_prac.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,7.8829,space,57.9814,space,20.0225,space,15.8343,space,29.2839,space,7.8597,108,58,1,0,0,response1disk_5,3,7,-7,1,0,0,rectangle_8,7,-7,1,0,0,2,7,-7,1,0,0,0,0,0,1,1,trail1,trail1.jpg,trail2,trail2.jpg,a,001,2021-12-17_24h12.03.792,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.14360066,5cf3eaf706fb120016ecfd05,61bbc5c79a1c66460f44041e,61bbc5fd3d1a031c0a05cf16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,82,106,1,0,0,response1disk_5,4,-3,-8,1,0,0,rectangle_8,98,-50,1,0,0,2,4,-3,1,0,0,0,1,1,2,1,trail1,trail1.jpg,trail3,trail3.jpg,a,001,2021-12-17_24h12.03.792,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.14360066,5cf3eaf706fb120016ecfd05,61bbc5c79a1c66460f44041e,61bbc5fd3d1a031c0a05cf16,response3disk_7,2,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,76,-33,1,0,0,response3disk_5,2,-2,-17,1,0,0,rectangle_8,-2,-17,1,0,0,2,-2,-17,1,0,0,0,2,2,5,1,trail3,trail3.jpg,trail3,trail3.jpg,a,001,2021-12-17_24h12.03.792,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.14360066,5cf3eaf706fb120016ecfd05,61bbc5c79a1c66460f44041e,61bbc5fd3d1a031c0a05cf16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,31,96,1,0,0,response1disk_5,4,-6,-14,1,0,0,rectangle_8,-6,-14,1,0,0,2,-6,-14,1,0,0,0,3,3,3,1,trail2,trail2.jpg,trail2,trail2.jpg,a,001,2021-12-17_24h12.03.792,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.14360066,5cf3eaf706fb120016ecfd05,61bbc5c79a1c66460f44041e,61bbc5fd3d1a031c0a05cf16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-49,92,1,0,0,response7disk_5,-4,-12,5,1,0,0,rectangle_8,-12,5,1,0,0,2,-12,5,1,0,0,0,4,4,4,1,trail2,trail2.jpg,trail3,trail3.jpg,a,001,2021-12-17_24h12.03.792,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.14360066,5cf3eaf706fb120016ecfd05,61bbc5c79a1c66460f44041e,61bbc5fd3d1a031c0a05cf16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,38,54,1,0,0,response1disk_5,4,-6,1,1,0,0,rectangle_8,-6,1,1,0,0,2,-6,1,1,0,0,0,5,5,0,1,trail1,trail1.jpg,trail1,trail1.jpg,a,001,2021-12-17_24h12.03.792,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.14360066,5cf3eaf706fb120016ecfd05,61bbc5c79a1c66460f44041e,61bbc5fd3d1a031c0a05cf16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2021-12-17_24h12.03.792,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.14360066,5cf3eaf706fb120016ecfd05,61bbc5c79a1c66460f44041e,61bbc5fd3d1a031c0a05cf16,,,,space,1.6669,105,-49,1,0,0,response3disk,4.4839,4,-20,1,0,0,rectangle,4,-20,1,0,0,,1,"[92,122,124,20,138,124,18,64,51,124]",4,-20,1,0,0,0,0,0,61,1,Turquiose,Turquiose.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2021-12-17_24h12.03.792,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.14360066,5cf3eaf706fb120016ecfd05,61bbc5c79a1c66460f44041e,61bbc5fd3d1a031c0a05cf16,,,,,,-24,56,1,0,0,response7disk,1.5666,-13,18,1,0,0,rectangle,-13,18,1,0,0,,2,"[92,122,124,20,138,124,18,64,51,124]",-13,18,1,0,0,0,1,1,54,1,DarkGreen,DarkGreen.jpg,Yellow,Yellow.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2021-12-17_24h12.03.792,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.14360066,5cf3eaf706fb120016ecfd05,61bbc5c79a1c66460f44041e,61bbc5fd3d1a031c0a05cf16,,,,,,-28,54,1,0,0,response7disk,1.1001,0,8,1,0,0,rectangle,0,8,1,0,0,,-4,"[92,122,124,20,138,124,18,64,51,124]",0,8,1,0,0,0,2,2,16,1,Yellow,Yellow.jpg,Purple,Purple.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2021-12-17_24h12.03.792,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.14360066,5cf3eaf706fb120016ecfd05,61bbc5c79a1c66460f44041e,61bbc5fd3d1a031c0a05cf16,,,,,,-31,75,1,0,0,response7disk,2.7008,-9,16,1,0,0,rectangle,-9,16,1,0,0,,3,"[92,122,124,20,138,124,18,64,51,124]",-9,16,1,0,0,0,3,3,77,1,Purple,Purple.jpg,LightBlue,LightBlue.jpg,,
