key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_catch_prac.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,1.8711,space,2.8152,space,2.018,space,27.0397,space,9.8852,space,2.3522,-99,-57.5,1,0,0,response5disk_5,-2,-8,-3.5,1,0,0,rectangle_8,-8,-3.5,1,0,0,3,-8,-3.5,1,0,0,0,0,0,3,1,trail2,trail2.jpg,trail2,trail2.jpg,5c0e94f62932300001e2e0d3,001,2021-12-17_24h08.55.352,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.78358343,5c0e94f62932300001e2e0d3,61bbc5c79a1c66460f44041e,61bbc604840f93381668c987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,85,31.5,1,0,0,response1disk_5,3,3,-2.5,1,0,0,rectangle_8,3,-2.5,1,0,0,3,3,-2.5,1,0,0,0,1,1,5,1,trail3,trail3.jpg,trail3,trail3.jpg,5c0e94f62932300001e2e0d3,001,2021-12-17_24h08.55.352,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.78358343,5c0e94f62932300001e2e0d3,61bbc5c79a1c66460f44041e,61bbc604840f93381668c987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-83,-43.5,1,0,0,response5disk_5,-2,-7,-3.5,1,0,0,rectangle_8,94,35.5,1,0,0,3,2,-7.5,1,0,0,0,2,2,4,1,trail2,trail2.jpg,trail3,trail3.jpg,5c0e94f62932300001e2e0d3,001,2021-12-17_24h08.55.352,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.78358343,5c0e94f62932300001e2e0d3,61bbc5c79a1c66460f44041e,61bbc604840f93381668c987,response1disk_7,3,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-64,-43.5,1,0,0,response5disk_5,-2,-1,1.5,1,0,0,rectangle_8,-1,1.5,1,0,0,3,-1,1.5,1,0,0,0,3,3,2,1,trail1,trail1.jpg,trail3,trail3.jpg,5c0e94f62932300001e2e0d3,001,2021-12-17_24h08.55.352,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.78358343,5c0e94f62932300001e2e0d3,61bbc5c79a1c66460f44041e,61bbc604840f93381668c987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-69,46.5,1,0,0,response7disk_5,-3,0,1.5,1,0,0,rectangle_8,111,37.5,1,0,0,3,7,-1.5,1,0,0,0,4,4,1,1,trail1,trail1.jpg,trail2,trail2.jpg,5c0e94f62932300001e2e0d3,001,2021-12-17_24h08.55.352,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.78358343,5c0e94f62932300001e2e0d3,61bbc5c79a1c66460f44041e,61bbc604840f93381668c987,response1disk_7,3,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,40,96.5,1,0,0,response1disk_5,4,-6,9.5,1,0,0,rectangle_8,-6,9.5,1,0,0,3,-6,9.5,1,0,0,0,5,5,0,1,trail1,trail1.jpg,trail1,trail1.jpg,5c0e94f62932300001e2e0d3,001,2021-12-17_24h08.55.352,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.78358343,5c0e94f62932300001e2e0d3,61bbc5c79a1c66460f44041e,61bbc604840f93381668c987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,5c0e94f62932300001e2e0d3,001,2021-12-17_24h08.55.352,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.78358343,5c0e94f62932300001e2e0d3,61bbc5c79a1c66460f44041e,61bbc604840f93381668c987,,,,space,2.2024,-56,42.5,1,0,0,response7disk,2.8502,-6,-0.5,1,0,0,rectangle,-6,-0.5,1,0,0,,3,"[63,6,48,16,68,9,68,66,47,64]",-6,-0.5,1,0,0,0,0,0,61,1,Turquiose,Turquiose.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,5c0e94f62932300001e2e0d3,001,2021-12-17_24h08.55.352,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.78358343,5c0e94f62932300001e2e0d3,61bbc5c79a1c66460f44041e,61bbc604840f93381668c987,,,,,,-44,87.5,1,0,0,response7disk,1.4821,-4,-15.5,1,0,0,rectangle,-4,-15.5,1,0,0,,1,"[63,6,48,16,68,9,68,66,47,64]",-4,-15.5,1,0,0,0,1,1,54,1,DarkGreen,DarkGreen.jpg,Yellow,Yellow.jpg,,
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,5c0e94f62932300001e2e0d3,001,2021-12-17_24h08.55.352,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.78358343,5c0e94f62932300001e2e0d3,61bbc5c79a1c66460f44041e,61bbc604840f93381668c987,,,,,,-91,47.5,1,0,0,response7disk,1.5008,-15,-9.5,1,0,0,rectangle,-15,-9.5,1,0,0,,-1,"[63,6,48,16,68,9,68,66,47,64]",-15,-9.5,1,0,0,0,2,2,16,1,Yellow,Yellow.jpg,Purple,Purple.jpg,,
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,5c0e94f62932300001e2e0d3,001,2021-12-17_24h08.55.352,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.78358343,5c0e94f62932300001e2e0d3,61bbc5c79a1c66460f44041e,61bbc604840f93381668c987,,,,,,-69,-46.5,1,0,0,response5disk,1.0502,-9,-13.5,1,0,0,rectangle,-9,-13.5,1,0,0,,-4,"[63,6,48,16,68,9,68,66,47,64]",-9,-13.5,1,0,0,0,3,3,77,1,Purple,Purple.jpg,LightBlue,LightBlue.jpg,,
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,5c0e94f62932300001e2e0d3,001,2021-12-17_24h08.55.352,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.78358343,5c0e94f62932300001e2e0d3,61bbc5c79a1c66460f44041e,61bbc604840f93381668c987,,,,,,-63,44.5,1,0,0,response7disk,1.0001,-1,5.5,1,0,0,rectangle,-1,5.5,1,0,0,,-3,"[63,6,48,16,68,9,68,66,47,64]",-1,5.5,1,0,0,0,4,4,26,1,DarkGreen,DarkGreen.jpg,LightBlue,LightBlue.jpg,,
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,5c0e94f62932300001e2e0d3,001,2021-12-17_24h08.55.352,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.78358343,5c0e94f62932300001e2e0d3,61bbc5c79a1c66460f44041e,61bbc604840f93381668c987,,,,,,-70,42.5,1,0,0,response7disk,1.0171,-9,7.5,1,0,0,rectangle,-74,33.5,1,0,0,-3,-3,"[63,6,48,16,68,9,68,66,47,64]",-1,-2.5,1,0,0,0,5,5,69,1,Pink,Pink.jpg,DarkGreen,DarkGreen.jpg,response7disk_3,rectangle
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,5c0e94f62932300001e2e0d3,001,2021-12-17_24h08.55.352,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.78358343,5c0e94f62932300001e2e0d3,61bbc5c79a1c66460f44041e,61bbc604840f93381668c987,,,,,,-72,46.5,1,0,0,response7disk,1.3989,-14,-4.5,1,0,0,rectangle,-14,-4.5,1,0,0,-3,2,"[63,6,48,16,68,9,68,66,47,64]",-14,-4.5,1,0,0,0,6,6,5,1,Red,Red.jpg,LightBlue,LightBlue.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,5c0e94f62932300001e2e0d3,001,2021-12-17_24h08.55.352,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.78358343,5c0e94f62932300001e2e0d3,61bbc5c79a1c66460f44041e,61bbc604840f93381668c987,,,,,,-29,62.5,1,0,0,response7disk,0.8172,-8,-1.5,1,0,0,rectangle,-8,-1.5,1,0,0,-3,3,"[63,6,48,16,68,9,68,66,47,64]",-8,-1.5,1,0,0,0,7,7,43,1,Pink,Pink.jpg,Purple,Purple.jpg,,
,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5c0e94f62932300001e2e0d3,001,2021-12-17_24h08.55.352,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.78358343,5c0e94f62932300001e2e0d3,61bbc5c79a1c66460f44041e,61bbc604840f93381668c987,,,,,,53,102.5,1,0,0,response1disk,0.8354,-6,5.5,1,0,0,rectangle,-45,-98.5,1,0,0,-1,-1,"[63,6,48,16,68,9,68,66,47,64]",-10,-0.5,1,0,0,0,8,8,0,1,Red,Red.jpg,Red,Red.jpg,response5disk_3,rectangle
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,5c0e94f62932300001e2e0d3,001,2021-12-17_24h08.55.352,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.78358343,5c0e94f62932300001e2e0d3,61bbc5c79a1c66460f44041e,61bbc604840f93381668c987,,,,,,-80,45.5,1,0,0,response7disk,1.4002,-13,-1.5,1,0,0,rectangle,-13,-1.5,1,0,0,-1,-2,"[63,6,48,16,68,9,68,66,47,64]",-13,-1.5,1,0,0,0,9,9,28,1,DarkGreen,DarkGreen.jpg,Pink,Pink.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,5c0e94f62932300001e2e0d3,001,2021-12-17_24h08.55.352,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.78358343,5c0e94f62932300001e2e0d3,61bbc5c79a1c66460f44041e,61bbc604840f93381668c987,,,,,,-29,67.5,1,0,0,response7disk,0.7182,-2,-11.5,1,0,0,rectangle,-2,-11.5,1,0,0,-1,-2,"[63,6,48,16,68,9,68,66,47,64]",-2,-11.5,1,0,0,0,10,10,32,1,Turquiose,Turquiose.jpg,DarkBlue,DarkBlue.jpg,,
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,5c0e94f62932300001e2e0d3,001,2021-12-17_24h08.55.352,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.78358343,5c0e94f62932300001e2e0d3,61bbc5c79a1c66460f44041e,61bbc604840f93381668c987,,,,,,-81,28.5,1,0,0,response7disk,0.8519,-3,-13.5,1,0,0,rectangle,-3,-13.5,1,0,0,-1,-2,"[63,6,48,16,68,9,68,66,47,64]",-3,-13.5,1,0,0,0,11,11,33,1,Turquiose,Turquiose.jpg,Pink,Pink.jpg,,
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,5c0e94f62932300001e2e0d3,001,2021-12-17_24h08.55.352,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.78358343,5c0e94f62932300001e2e0d3,61bbc5c79a1c66460f44041e,61bbc604840f93381668c987,,,,,,-76,-60.5,1,0,0,response5disk,1.0992,-3,-10.5,1,0,0,rectangle,-3,-10.5,1,0,0,-1,-3,"[63,6,48,16,68,9,68,66,47,64]",-3,-10.5,1,0,0,0,12,12,52,1,Purple,Purple.jpg,Red,Red.jpg,,
,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,5c0e94f62932300001e2e0d3,001,2021-12-17_24h08.55.352,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,59.78358343,5c0e94f62932300001e2e0d3,61bbc5c79a1c66460f44041e,61bbc604840f93381668c987,,,,,,-18,-89.5,1,0,0,response5disk,1.8499,5,-1.5,1,0,0,rectangle,5,-1.5,1,0,0,-1,-2,"[63,6,48,16,68,9,68,66,47,64]",5,-1.5,1,0,0,0,13,13,76,1,Pink,Pink.jpg,LightBlue,LightBlue.jpg,,
