key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_catch_prac.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,76.5879,space,2.614,space,0.4877,space,3.6591,space,9.4009,space,0.9312,-44,-105.5,1,0,0,response5disk_5,-1,-5,12.5,1,0,0,rectangle_8,-5,12.5,1,0,0,-1,-5,12.5,1,0,0,0,0,0,1,1,trail1,trail1.jpg,trail2,trail2.jpg,60f42ad3ca124664fb706b22,001,2021-12-17_01h15.19.458,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,144.0092166,60f42ad3ca124664fb706b22,61bbc5c79a1c66460f44041e,61bbd68d4608fa58ccf9f5ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,43,112.5,1,0,0,response1disk_5,4,3,-3.5,1,0,0,rectangle_8,3,-3.5,1,0,0,-1,3,-3.5,1,0,0,0,1,1,5,1,trail3,trail3.jpg,trail3,trail3.jpg,60f42ad3ca124664fb706b22,001,2021-12-17_01h15.19.458,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,144.0092166,60f42ad3ca124664fb706b22,61bbc5c79a1c66460f44041e,61bbd68d4608fa58ccf9f5ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,44,134.5,1,0,0,response1disk_5,4,-7,6.5,1,0,0,rectangle_8,-37,-82.5,1,0,0,-1,0,1.5,1,0,0,0,2,2,3,1,trail2,trail2.jpg,trail2,trail2.jpg,60f42ad3ca124664fb706b22,001,2021-12-17_01h15.19.458,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,144.0092166,60f42ad3ca124664fb706b22,61bbc5c79a1c66460f44041e,61bbd68d4608fa58ccf9f5ec,response5disk_7,-1,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-48,104.5,1,0,0,response7disk_5,-4,-9,8.5,1,0,0,rectangle_8,-9,8.5,1,0,0,-1,-9,8.5,1,0,0,0,3,3,4,1,trail2,trail2.jpg,trail3,trail3.jpg,60f42ad3ca124664fb706b22,001,2021-12-17_01h15.19.458,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,144.0092166,60f42ad3ca124664fb706b22,61bbc5c79a1c66460f44041e,61bbd68d4608fa58ccf9f5ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-87,-29.5,1,0,0,response5disk_5,-2,0,0.5,1,0,0,rectangle_8,0,0.5,1,0,0,-1,0,0.5,1,0,0,0,4,4,2,1,trail1,trail1.jpg,trail3,trail3.jpg,60f42ad3ca124664fb706b22,001,2021-12-17_01h15.19.458,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,144.0092166,60f42ad3ca124664fb706b22,61bbc5c79a1c66460f44041e,61bbd68d4608fa58ccf9f5ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,31,101.5,1,0,0,response1disk_5,4,-15,-9.5,1,0,0,rectangle_8,-15,-9.5,1,0,0,-1,-15,-9.5,1,0,0,0,5,5,0,1,trail1,trail1.jpg,trail1,trail1.jpg,60f42ad3ca124664fb706b22,001,2021-12-17_01h15.19.458,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,144.0092166,60f42ad3ca124664fb706b22,61bbc5c79a1c66460f44041e,61bbd68d4608fa58ccf9f5ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,60f42ad3ca124664fb706b22,001,2021-12-17_01h15.19.458,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,144.0092166,60f42ad3ca124664fb706b22,61bbc5c79a1c66460f44041e,61bbd68d4608fa58ccf9f5ec,,,,space,0.4021,-37,124.5,1,0,0,response7disk,0.8684,3,-4.5,1,0,0,rectangle,3,-4.5,1,0,0,,-1,"[33,153,90,73,58,92,36,24,138,89]",3,-4.5,1,0,0,0,0,0,61,1,Turquiose,Turquiose.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,60f42ad3ca124664fb706b22,001,2021-12-17_01h15.19.458,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,144.0092166,60f42ad3ca124664fb706b22,61bbc5c79a1c66460f44041e,61bbd68d4608fa58ccf9f5ec,,,,,,-41,104.5,1,0,0,response7disk,0.6876,-5,22.5,1,0,0,rectangle,-5,22.5,1,0,0,,3,"[33,153,90,73,58,92,36,24,138,89]",-5,22.5,1,0,0,0,1,1,54,1,DarkGreen,DarkGreen.jpg,Yellow,Yellow.jpg,,
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,60f42ad3ca124664fb706b22,001,2021-12-17_01h15.19.458,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,144.0092166,60f42ad3ca124664fb706b22,61bbc5c79a1c66460f44041e,61bbd68d4608fa58ccf9f5ec,,,,,,-79,35.5,1,0,0,response7disk,1.3961,-9,10.5,1,0,0,rectangle,-9,10.5,1,0,0,,-1,"[33,153,90,73,58,92,36,24,138,89]",-9,10.5,1,0,0,0,2,2,16,1,Yellow,Yellow.jpg,Purple,Purple.jpg,,
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,60f42ad3ca124664fb706b22,001,2021-12-17_01h15.19.458,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,144.0092166,60f42ad3ca124664fb706b22,61bbc5c79a1c66460f44041e,61bbd68d4608fa58ccf9f5ec,,,,,,-55,-29.5,1,0,0,response5disk,1,-3,-1.5,1,0,0,rectangle,-3,-1.5,1,0,0,,2,"[33,153,90,73,58,92,36,24,138,89]",-3,-1.5,1,0,0,0,3,3,77,1,Purple,Purple.jpg,LightBlue,LightBlue.jpg,,
