key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_catch_prac.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,2.6706,space,27.7968,space,5.4797,space,15.5749,space,26.1136,space,7.8053,123,33,1,0,0,response1disk_5,3,-3,1,1,0,0,rectangle_8,-3,1,1,0,0,-1,-3,1,1,0,0,0,0,0,3,1,trail2,trail2.jpg,trail2,trail2.jpg,615e262996a338cda227b1eb,001,2021-12-17_09h05.59.929,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.08893162,615e262996a338cda227b1eb,61bbc5c79a1c66460f44041e,61bbc6346452c682923ba30f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-87,-46,1,0,0,response5disk_5,-2,0,2,1,0,0,rectangle_8,0,2,1,0,0,-1,0,2,1,0,0,0,1,1,1,1,trail1,trail1.jpg,trail2,trail2.jpg,615e262996a338cda227b1eb,001,2021-12-17_09h05.59.929,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.08893162,615e262996a338cda227b1eb,61bbc5c79a1c66460f44041e,61bbc6346452c682923ba30f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,46,-115,1,0,0,response3disk_5,1,-2,2,1,0,0,rectangle_8,-2,2,1,0,0,-1,-2,2,1,0,0,0,2,2,2,1,trail1,trail1.jpg,trail3,trail3.jpg,615e262996a338cda227b1eb,001,2021-12-17_09h05.59.929,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.08893162,615e262996a338cda227b1eb,61bbc5c79a1c66460f44041e,61bbc6346452c682923ba30f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,44,99,1,0,0,response1disk_5,4,-2,3,1,0,0,rectangle_8,-53,-116,1,0,0,-1,-2,3,1,0,0,0,3,3,5,1,trail3,trail3.jpg,trail3,trail3.jpg,615e262996a338cda227b1eb,001,2021-12-17_09h05.59.929,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.08893162,615e262996a338cda227b1eb,61bbc5c79a1c66460f44041e,61bbc6346452c682923ba30f,response5disk_7,-1,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-43,83,1,0,0,response7disk_5,-4,0,1,1,0,0,rectangle_8,0,1,1,0,0,-1,0,1,1,0,0,0,4,4,4,1,trail2,trail2.jpg,trail3,trail3.jpg,615e262996a338cda227b1eb,001,2021-12-17_09h05.59.929,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.08893162,615e262996a338cda227b1eb,61bbc5c79a1c66460f44041e,61bbc6346452c682923ba30f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,51,100,1,0,0,response1disk_5,4,0,3,1,0,0,rectangle_8,0,3,1,0,0,-1,0,3,1,0,0,0,5,5,0,1,trail1,trail1.jpg,trail1,trail1.jpg,615e262996a338cda227b1eb,001,2021-12-17_09h05.59.929,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.08893162,615e262996a338cda227b1eb,61bbc5c79a1c66460f44041e,61bbc6346452c682923ba30f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,615e262996a338cda227b1eb,001,2021-12-17_09h05.59.929,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.08893162,615e262996a338cda227b1eb,61bbc5c79a1c66460f44041e,61bbc6346452c682923ba30f,,,,space,2.7954,-58,101,1,0,0,response7disk,3.9213,-1,3,1,0,0,rectangle,-1,3,1,0,0,,-3,"[57,143,31,80,147,25,79,3,86,139]",-1,3,1,0,0,0,0,0,61,1,Turquiose,Turquiose.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,615e262996a338cda227b1eb,001,2021-12-17_09h05.59.929,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.08893162,615e262996a338cda227b1eb,61bbc5c79a1c66460f44041e,61bbc6346452c682923ba30f,,,,,,-35,94,1,0,0,response7disk,1.7306,0,3,1,0,0,rectangle,0,3,1,0,0,,3,"[57,143,31,80,147,25,79,3,86,139]",0,3,1,0,0,0,1,1,54,1,DarkGreen,DarkGreen.jpg,Yellow,Yellow.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,615e262996a338cda227b1eb,001,2021-12-17_09h05.59.929,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.08893162,615e262996a338cda227b1eb,61bbc5c79a1c66460f44041e,61bbc6346452c682923ba30f,,,,,,-46,96,1,0,0,response7disk,2.7197,0,3,1,0,0,rectangle,115,42,1,0,0,3,3,"[57,143,31,80,147,25,79,3,86,139]",0,3,1,0,0,0,2,2,16,1,Yellow,Yellow.jpg,Purple,Purple.jpg,response1disk_3,rectangle
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,615e262996a338cda227b1eb,001,2021-12-17_09h05.59.929,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,60.08893162,615e262996a338cda227b1eb,61bbc5c79a1c66460f44041e,61bbc6346452c682923ba30f,,,,,,-89,-40,1,0,0,response5disk,3.4035,-1,6,1,0,0,rectangle,-1,6,1,0,0,3,1,"[57,143,31,80,147,25,79,3,86,139]",-1,6,1,0,0,0,3,3,77,1,Purple,Purple.jpg,LightBlue,LightBlue.jpg,,
