key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,mouse_catch_prac.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,3.4177,space,1.3244,space,7.1577,space,15.388,space,68.2259,space,8.2648,56.00001228,99.19997063,1,0,0,response1disk_5,4,2.40001148,-4.800006509,1,0,0,rectangle_8,46.40001214,-119.2000082,1,0,0,response3disk_7,1,1,1.600060296,-7.200006545,1,0,0,rectangle_4,0,0,0,3,1,trail2,trail2.jpg,trail2,trail2.jpg,,001,2021-12-16_23h08.56.109,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,57.66015107,6108878a6817adc0fb1bfbf9,61bbc5c79a1c66460f44041e,61bbc60c0f6f7e06c585d116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-45.59998924,97.59999502,1,0,0,response7disk_5,-4,-1.59998858,-1.600006461,1,0,0,rectangle_8,-1.59998858,-1.600006461,1,0,0,,,1,-1.59998858,-1.600006461,1,0,0,,0,1,1,2,1,trail1,trail1.jpg,trail3,trail3.jpg,,001,2021-12-16_23h08.56.109,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,57.66015107,6108878a6817adc0fb1bfbf9,61bbc5c79a1c66460f44041e,61bbc60c0f6f7e06c585d116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,105.600013,56.79999441,1,0,0,response1disk_5,3,-2.399939764,-3.200006485,1,0,0,rectangle_8,52.00001222,-108.8000081,1,0,0,response3disk_7,1,1,7.200011551,-2.400006473,1,0,0,rectangle_4,0,2,2,5,1,trail3,trail3.jpg,trail3,trail3.jpg,,001,2021-12-16_23h08.56.109,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,57.66015107,6108878a6817adc0fb1bfbf9,61bbc5c79a1c66460f44041e,61bbc60c0f6f7e06c585d116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,51.20001221,91.99999493,1,0,0,response1disk_5,4,-0.799988568,1.599993587,1,0,0,rectangle_8,-0.799988568,1.599993587,1,0,0,,,1,-0.799988568,1.599993587,1,0,0,,0,3,3,0,1,trail1,trail1.jpg,trail1,trail1.jpg,,001,2021-12-16_23h08.56.109,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,57.66015107,6108878a6817adc0fb1bfbf9,61bbc5c79a1c66460f44041e,61bbc60c0f6f7e06c585d116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-85.59998983,47.19996985,1,0,0,response7disk_5,-3,1.14441E-05,-2.400006473,1,0,0,rectangle_8,1.14441E-05,-2.400006473,1,0,0,,,1,1.14441E-05,-2.400006473,1,0,0,,0,4,4,1,1,trail1,trail1.jpg,trail2,trail2.jpg,,001,2021-12-16_23h08.56.109,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,57.66015107,6108878a6817adc0fb1bfbf9,61bbc5c79a1c66460f44041e,61bbc60c0f6f7e06c585d116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-45.59998924,90.39999491,1,0,0,response7disk_5,-4,4.800011516,3.999993622,1,0,0,rectangle_8,4.800011516,3.999993622,1,0,0,,,1,4.800011516,3.999993622,1,0,0,,0,5,5,4,1,trail2,trail2.jpg,trail3,trail3.jpg,,001,2021-12-16_23h08.56.109,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,57.66015107,6108878a6817adc0fb1bfbf9,61bbc5c79a1c66460f44041e,61bbc60c0f6f7e06c585d116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-16_23h08.56.109,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,57.66015107,6108878a6817adc0fb1bfbf9,61bbc5c79a1c66460f44041e,61bbc60c0f6f7e06c585d116,space,2.6558,-46.39994042,90.39999491,1,0,0,response7disk,2.2326,8.000011563,-0.800006449,1,0,0,rectangle,8.000011563,-0.800006449,1,0,0,,-2,"[137,124,80,147,110,154,94,116,161,64]",8.000011563,-0.800006449,1,0,0,0,0,0,61,1,Turquiose,Turquiose.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-16_23h08.56.109,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,57.66015107,6108878a6817adc0fb1bfbf9,61bbc5c79a1c66460f44041e,61bbc60c0f6f7e06c585d116,,,-43.1999892,71.99999464,1,0,0,response7disk,3.1811,-3.199988604,-5.600006521,1,0,0,rectangle,-3.199988604,-5.600006521,1,0,0,,3,"[137,124,80,147,110,154,94,116,161,64]",-3.199988604,-5.600006521,1,0,0,0,1,1,54,1,DarkGreen,DarkGreen.jpg,Yellow,Yellow.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-16_23h08.56.109,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,57.66015107,6108878a6817adc0fb1bfbf9,61bbc5c79a1c66460f44041e,61bbc60c0f6f7e06c585d116,,,-42.39994036,95.99999499,1,0,0,response7disk,2.4985,-6.399939823,-5.600006521,1,0,0,rectangle,-6.399939823,-5.600006521,1,0,0,,1,"[137,124,80,147,110,154,94,116,161,64]",-6.399939823,-5.600006521,1,0,0,0,2,2,16,1,Yellow,Yellow.jpg,Purple,Purple.jpg,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-12-16_23h08.56.109,jm_natural_scene_simialrity_2-12-2021_version2,2021.2.3,Win32,57.66015107,6108878a6817adc0fb1bfbf9,61bbc5c79a1c66460f44041e,61bbc60c0f6f7e06c585d116,,,36.80001199,-107.200008,1,0,0,response3disk,3.8698,-0.799988568,-6.4373E-06,1,0,0,rectangle,-0.799988568,-6.4373E-06,1,0,0,,1,"[137,124,80,147,110,154,94,116,161,64]",-0.799988568,-6.4373E-06,1,0,0,0,3,3,77,1,Purple,Purple.jpg,LightBlue,LightBlue.jpg,,
